interaction_id,user_id,reel_id,timestamp,session_id,watch_seconds,watch_percentage,liked,saved,shared,replayed,skipped,followed_creator
INT000021,U000001,RL002849,2025-01-23T12:42:51,SESS000003,17.2,45.1,0,0,0,0,0,0
INT000022,U000001,CAND000534,2025-01-23T12:43:16,SESS000003,12.5,73.4,1,0,0,0,0,0
INT000023,U000001,RL001187,2025-01-23T12:43:55,SESS000003,34.8,74.0,1,0,0,0,0,0
INT000024,U000001,RL003716,2025-04-21T01:12:40,SESS000004,52.8,71.3,0,0,0,0,0,0
INT000025,U000001,CAND000086,2025-04-21T01:12:52,SESS000004,10.7,46.3,0,0,0,0,0,0
INT000026,U000001,CAND000774,2025-04-21T01:13:04,SESS000004,7.5,35.9,0,0,0,0,0,0
INT000027,U000001,RL004708,2025-04-21T01:13:45,SESS000004,34.9,47.2,0,0,0,0,0,0
INT000028,U000001,RL002734,2025-04-21T01:14:21,SESS000004,34.5,44.8,0,0,0,0,0,0
INT000029,U000001,RL004265,2025-04-21T01:14:47,SESS000004,8.7,31.0,0,0,0,0,0,0
INT000030,U000001,RL000582,2025-04-21T01:14:57,SESS000004,2.8,34.5,0,0,0,0,0,0
INT000031,U000001,RL000803,2025-08-12T22:16:35,SESS000005,14.7,33.4,0,0,0,0,0,0
INT000032,U000001,RL000560,2025-08-12T22:16:51,SESS000005,14.0,28.5,0,0,0,0,0,0
INT000033,U000001,RL003363,2025-08-12T22:17:11,SESS000005,15.3,41.3,0,0,0,0,0,0
INT000034,U000001,RL001600,2025-08-12T22:17:51,SESS000005,26.7,39.8,0,0,0,0,0,0
INT000035,U000001,RL002192,2025-08-12T22:18:30,SESS000005,26.5,39.5,0,0,0,0,0,0
INT000036,U000002,CAND000509,2025-07-23T11:50:22,SESS000006,31.1,42.1,0,0,0,0,0,0
INT000037,U000002,CAND000204,2025-07-23T11:50:45,SESS000006,8.3,55.6,0,0,0,0,0,0
INT000038,U000002,CAND000554,2025-07-23T11:51:12,SESS000006,19.3,36.5,0,0,0,0,0,0
INT000039,U000002,RL004218,2025-07-23T11:51:48,SESS000006,31.4,40.8,0,0,0,0,0,0
INT000040,U000002,RL002233,2025-07-23T11:52:30,SESS000006,25.7,45.1,0,0,0,0,0,0
INT000041,U000002,RL001084,2025-07-23T11:52:51,SESS000006,6.1,38.0,0,0,0,0,0,0
INT000042,U000002,RL004654,2025-10-09T19:53:58,SESS000007,27.9,38.7,0,0,0,0,0,0
INT000043,U000002,RL003898,2025-10-09T19:54:44,SESS000007,35.4,65.5,0,0,0,0,0,0
INT000044,U000002,RL001782,2025-10-09T19:54:48,SESS000007,0.5,1.1,0,0,0,0,1,0
INT000045,U000002,RL000087,2025-10-09T19:55:03,SESS000007,10.3,51.3,0,0,0,0,0,0
INT000046,U000002,RL002414,2025-01-18T14:29:50,SESS000008,26.1,48.4,0,0,0,0,0,0
INT000047,U000002,CAND000504,2025-01-18T14:30:22,SESS000008,20.0,26.6,0,0,0,0,0,0
INT000048,U000002,RL004873,2025-01-18T14:30:58,SESS000008,18.6,33.2,0,0,0,0,0,0
INT000049,U000002,RL004116,2025-01-18T14:31:28,SESS000008,15.1,50.3,0,0,0,0,0,0
INT000050,U000002,RL004691,2025-01-18T14:31:46,SESS000008,8.7,27.1,0,0,0,0,0,0
INT000051,U000002,CAND000053,2025-01-18T14:32:08,SESS000008,19.9,46.4,0,0,0,0,0,0
INT000052,U000002,RL000058,2025-01-18T14:32:29,SESS000008,4.6,27.2,0,0,0,0,0,0
INT000053,U000002,CAND000464,2025-01-18T14:33:10,SESS000008,27.7,50.4,0,0,0,0,0,0
INT000054,U000002,RL002705,2025-01-18T14:33:46,SESS000008,31.2,41.6,0,0,0,0,0,0
INT000055,U000002,RL003374,2025-01-18T14:34:25,SESS000008,20.3,67.6,0,0,0,0,0,0
INT000056,U000002,RL003874,2025-01-18T14:34:41,SESS000008,5.2,30.7,0,0,0,0,0,0
INT000057,U000002,RL004941,2025-01-18T14:35:08,SESS000008,24.0,54.5,0,0,0,0,0,0
INT000058,U000002,RL000756,2025-03-14T05:19:41,SESS000009,39.9,57.0,0,0,0,0,0,0
INT000059,U000002,RL003422,2025-03-14T05:20:22,SESS000009,38.4,57.4,0,0,0,0,0,0
INT000060,U000002,RL001720,2025-03-14T05:21:01,SESS000009,34.1,66.8,0,0,0,0,0,0
INT000061,U000002,RL001785,2025-03-14T05:21:41,SESS000009,25.3,30.1,0,0,0,0,0,0
INT000062,U000002,RL000789,2025-04-07T08:29:02,SESS000010,1.8,22.8,0,0,0,0,1,0
INT000063,U000002,RL001883,2025-04-07T08:29:56,SESS000010,40.3,62.0,0,0,0,0,0,0
INT000064,U000002,RL004905,2025-04-07T08:30:12,SESS000010,12.0,41.5,0,0,0,0,0,0
INT000065,U000002,RL001710,2025-04-07T08:30:36,SESS000010,7.8,15.5,0,0,0,0,1,0
INT000066,U000002,RL001805,2025-04-07T08:31:00,SESS000010,4.2,42.4,0,0,0,0,0,0
INT000067,U000002,RL003889,2025-04-07T08:31:30,SESS000010,11.3,25.7,0,0,0,0,0,0
INT000068,U000003,RL004760,2025-09-06T10:51:23,SESS000011,14.6,41.7,0,0,0,0,0,0
INT000069,U000003,RL004946,2025-09-06T10:51:47,SESS000011,16.5,51.5,0,0,0,0,0,0
INT000070,U000003,RL004121,2025-09-06T10:52:18,SESS000011,26.1,30.0,0,0,0,0,0,0
INT000071,U000003,RL001662,2025-09-06T10:52:55,SESS000011,31.1,43.1,0,0,0,0,0,0
INT000072,U000003,RL003045,2025-09-06T10:53:09,SESS000011,4.1,51.2,0,0,0,0,0,0
INT000073,U000003,RL004443,2025-09-06T10:53:18,SESS000011,5.7,27.4,0,0,0,0,0,0
INT000074,U000003,RL004010,2025-09-06T10:53:54,SESS000011,19.3,22.5,0,0,0,0,1,0
INT000075,U000003,RL002525,2025-09-06T10:54:13,SESS000011,6.2,9.2,0,0,0,0,1,0
INT000076,U000003,CAND000326,2025-09-06T10:54:27,SESS000011,9.6,32.1,0,0,0,0,0,0
INT000077,U000003,RL002201,2025-09-06T10:55:42,SESS000011,60.4,71.9,0,0,0,0,0,0
INT000078,U000003,RL004314,2025-09-06T10:56:13,SESS000011,20.4,24.6,0,0,0,0,1,0
INT000079,U000003,CAND000246,2025-10-31T05:46:29,SESS000012,38.0,43.1,0,0,0,0,0,0
INT000080,U000003,CAND000568,2025-10-31T05:46:43,SESS000012,9.3,40.5,0,0,0,0,0,0
INT000081,U000003,RL004997,2025-10-31T05:46:56,SESS000012,3.5,38.4,0,0,0,0,0,0
INT000082,U000003,RL003795,2025-10-31T05:47:44,SESS000012,28.1,31.2,0,0,0,0,0,0
INT000083,U000003,CAND000234,2025-10-31T05:47:56,SESS000012,8.1,11.3,0,0,0,0,1,0
INT000084,U000003,RL000197,2025-10-31T05:48:41,SESS000012,37.8,47.8,0,0,0,0,0,0
INT000085,U000003,RL002323,2025-10-31T05:49:02,SESS000012,12.1,63.6,0,0,0,0,0,0
INT000086,U000003,RL003543,2025-10-31T05:49:29,SESS000012,10.5,22.9,0,0,0,0,1,0
INT000087,U000003,CAND000728,2025-10-31T05:49:42,SESS000012,10.4,38.4,0,0,0,0,0,0
INT000088,U000003,RL002492,2025-10-31T05:50:40,SESS000012,38.3,58.0,0,0,0,0,0,0
INT000089,U000003,RL000152,2025-10-31T05:51:07,SESS000012,17.0,50.0,0,0,0,0,0,0
INT000090,U000003,RL003243,2025-11-26T09:38:45,SESS000013,41.7,64.2,0,0,0,0,0,0
INT000091,U000003,RL001142,2025-11-26T09:39:03,SESS000013,6.4,64.0,0,0,0,0,0,0
INT000092,U000003,RL000902,2025-11-26T09:39:24,SESS000013,5.6,32.9,0,0,0,0,0,0
INT000093,U000003,RL003175,2025-11-26T09:39:55,SESS000013,15.1,36.8,0,0,0,0,0,0
INT000094,U000003,RL001935,2025-11-26T09:40:15,SESS000013,5.1,46.5,0,0,0,0,0,0
INT000095,U000003,RL002362,2025-05-17T18:28:54,SESS000014,37.8,51.8,0,0,0,0,0,0
INT000096,U000003,RL001821,2025-05-17T18:29:34,SESS000014,38.6,55.2,0,0,0,0,0,0
INT000097,U000003,RL002867,2025-05-17T18:30:04,SESS000014,25.0,41.7,0,0,0,0,0,0
INT000098,U000003,RL002682,2025-05-17T18:30:47,SESS000014,29.4,61.2,0,0,0,0,0,0
INT000099,U000003,CAND000260,2025-05-17T18:31:08,SESS000014,10.8,49.2,0,0,0,0,0,0
INT000100,U000003,RL000885,2025-05-17T18:31:26,SESS000014,5.7,9.1,0,0,0,0,1,0
INT000101,U000003,RL001840,2025-05-17T18:31:38,SESS000014,6.7,37.3,0,0,0,0,0,0
INT000102,U000003,RL003127,2025-05-17T18:32:06,SESS000014,8.2,21.5,0,0,0,0,1,0
INT000103,U000003,RL002111,2025-05-17T18:32:31,SESS000014,10.9,42.0,0,0,0,0,0,0
INT000104,U000003,RL004906,2025-05-17T18:33:20,SESS000014,33.6,41.0,0,0,0,0,0,0
INT000105,U000003,CAND000196,2025-03-05T05:40:45,SESS000015,28.4,42.4,0,0,0,0,0,0
INT000106,U000003,RL001941,2025-03-05T05:41:21,SESS000015,29.6,34.0,0,0,0,0,0,0
INT000107,U000003,RL002373,2025-03-05T05:42:15,SESS000015,38.9,46.4,0,0,0,0,0,0
INT000108,U000003,CAND000370,2025-03-05T05:42:56,SESS000015,21.1,41.4,0,0,0,0,0,0
INT000109,U000003,RL004018,2025-03-05T05:43:22,SESS000015,21.0,30.0,0,0,0,0,0,0
INT000110,U000003,RL000258,2025-03-05T05:43:46,SESS000015,21.5,28.3,0,0,0,0,0,0
INT000111,U000003,RL000668,2025-03-05T05:44:14,SESS000015,21.6,37.2,0,0,0,0,0,0
INT000112,U000004,RL002550,2025-08-28T12:59:14,SESS000016,7.6,40.1,0,0,0,0,0,0
INT000113,U000004,CAND000480,2025-08-28T12:59:49,SESS000016,20.8,40.0,0,0,0,0,0,0
INT000114,U000004,RL001209,2025-08-28T13:00:28,SESS000016,30.6,44.3,0,0,0,0,0,0
INT000115,U000004,RL004156,2025-08-28T13:01:12,SESS000016,29.2,38.9,0,0,0,0,0,0
INT000116,U000004,CAND000063,2025-08-28T13:01:27,SESS000016,4.3,53.6,0,0,0,0,0,0
INT000117,U000004,RL000189,2025-08-28T13:01:37,SESS000016,2.3,25.7,0,0,0,0,0,0
INT000118,U000004,RL003198,2025-08-28T13:01:51,SESS000016,11.1,52.9,0,0,0,0,0,0
INT000119,U000004,RL003255,2025-08-28T13:02:39,SESS000016,38.3,68.4,0,0,0,0,0,0
INT000120,U000004,RL004654,2025-08-28T13:03:02,SESS000016,13.7,19.0,0,0,0,0,1,0
INT000121,U000004,RL000268,2025-08-28T13:04:12,SESS000016,54.5,60.6,0,0,0,0,0,0
INT000122,U000004,RL003521,2025-11-11T09:59:09,SESS000017,21.7,33.4,0,0,0,0,0,0
INT000123,U000004,CAND000343,2025-11-11T09:59:27,SESS000017,16.2,29.0,0,0,0,0,0,0
INT000124,U000004,CAND000107,2025-11-11T10:00:18,SESS000017,32.6,88.1,1,0,1,0,0,0
INT000125,U000004,RL004082,2025-11-11T10:00:40,SESS000017,20.9,49.7,0,0,0,0,0,0
INT000126,U000004,RL003742,2025-11-11T10:00:55,SESS000017,13.3,35.8,0,0,0,0,0,0
INT000127,U000004,CAND000294,2025-11-11T10:01:31,SESS000017,30.6,56.7,0,0,0,0,0,0
INT000128,U000004,RL000770,2025-11-11T10:01:50,SESS000017,8.2,54.8,0,0,0,0,0,0
INT000129,U000004,RL002589,2025-11-11T10:02:08,SESS000017,10.8,60.0,0,0,0,0,0,0
INT000130,U000004,RL003614,2025-11-11T10:02:34,SESS000017,22.1,43.4,0,0,0,0,0,0
INT000131,U000004,RL003161,2025-11-11T10:03:16,SESS000017,23.6,49.2,0,0,0,0,0,0
INT000132,U000004,RL000373,2025-11-11T10:03:26,SESS000017,6.2,38.8,0,0,0,0,0,0
INT000133,U000004,RL003341,2025-11-11T10:03:51,SESS000017,22.3,33.8,0,0,0,0,0,0
INT000134,U000004,RL001320,2025-08-26T23:00:07,SESS000018,5.6,43.0,0,0,0,0,0,0
INT000135,U000004,CAND000259,2025-08-26T23:01:12,SESS000018,49.2,59.3,0,0,0,0,0,0
INT000136,U000004,RL002989,2025-08-26T23:01:31,SESS000018,17.6,35.9,0,0,0,0,0,0
INT000137,U000004,CAND000713,2025-08-26T23:01:53,SESS000018,15.4,42.7,0,0,0,0,0,0
INT000138,U000004,RL001773,2025-08-26T23:02:40,SESS000018,28.4,67.6,0,0,0,0,0,0
INT000139,U000004,RL001751,2025-08-26T23:03:12,SESS000018,27.5,52.9,0,0,0,0,0,0
INT000140,U000004,RL002560,2025-08-26T23:03:59,SESS000018,32.8,36.9,0,0,0,0,0,0
INT000141,U000004,RL001801,2025-08-26T23:04:44,SESS000018,38.4,62.9,0,0,0,0,0,0
INT000142,U000004,RL003277,2025-08-26T23:05:05,SESS000018,12.5,30.5,0,0,0,0,0,0
INT000143,U000004,RL002776,2025-08-26T23:05:31,SESS000018,12.3,38.5,0,0,0,0,0,0
INT000144,U000004,CAND000019,2025-08-26T23:05:47,SESS000018,4.2,26.3,0,0,0,0,0,0
INT000145,U000004,RL003484,2025-08-09T15:34:05,SESS000019,5.4,38.7,0,0,0,0,0,0
INT000146,U000004,RL003786,2025-08-09T15:34:52,SESS000019,29.3,62.3,0,0,0,0,0,0
INT000147,U000004,CAND000719,2025-08-09T15:35:17,SESS000019,12.2,50.9,0,0,0,0,0,0
INT000148,U000004,CAND000116,2025-08-09T15:36:10,SESS000019,37.2,47.0,0,0,0,0,0,0
INT000149,U000004,RL004697,2025-08-09T15:36:56,SESS000019,36.1,44.6,0,0,0,0,0,0
INT000150,U000004,RL003919,2025-08-09T15:37:25,SESS000019,9.1,45.6,0,0,0,0,0,0
INT000151,U000004,RL000519,2025-08-09T15:38:23,SESS000019,47.5,65.9,0,0,0,0,0,0
INT000152,U000004,RL002283,2025-08-09T15:39:33,SESS000019,52.1,78.9,1,0,0,0,0,0
INT000153,U000004,RL002617,2025-10-28T03:14:11,SESS000020,30.2,34.7,0,0,0,0,0,0
INT000154,U000004,RL000389,2025-10-28T03:14:49,SESS000020,22.4,46.6,0,0,0,0,0,0
INT000155,U000004,RL004467,2025-10-28T03:15:23,SESS000020,16.6,18.6,0,0,0,0,1,0
INT000156,U000004,RL001809,2025-10-28T03:16:02,SESS000020,36.9,46.8,0,0,0,0,0,0
INT000157,U000004,RL001667,2025-10-28T03:16:41,SESS000020,19.8,35.3,0,0,0,0,0,0
INT000158,U000004,RL001570,2025-03-06T04:42:19,SESS000021,35.1,64.9,0,0,0,0,0,0
INT000159,U000004,RL002973,2025-03-06T04:43:23,SESS000021,46.1,66.8,0,0,0,0,0,0
INT000160,U000004,RL002823,2025-03-06T04:43:47,SESS000021,8.7,32.3,0,0,0,0,0,0
INT000161,U000004,RL004414,2025-03-06T04:44:07,SESS000021,14.4,34.4,0,0,0,0,0,0
INT000162,U000004,RL003722,2025-03-06T04:44:31,SESS000021,12.7,44.0,0,0,0,0,0,0
INT000163,U000004,RL004768,2025-03-06T04:45:12,SESS000021,26.8,68.7,0,0,0,0,0,0
INT000164,U000004,RL003857,2025-03-06T04:46:13,SESS000021,41.5,59.2,0,0,0,0,0,0
INT000165,U000004,RL003661,2025-03-06T04:47:02,SESS000021,41.8,60.5,0,0,0,0,0,0
INT000166,U000004,RL001199,2025-03-06T04:47:43,SESS000021,24.1,38.9,0,0,0,0,0,0
INT000167,U000004,CAND000076,2025-03-06T04:48:03,SESS000021,9.9,66.1,0,0,0,0,0,0
INT000168,U000004,RL002011,2025-07-29T12:31:38,SESS000022,15.9,25.7,0,0,0,0,0,0
INT000169,U000004,RL004751,2025-07-29T12:31:59,SESS000022,4.0,49.7,0,0,0,0,0,0
INT000170,U000004,CAND000798,2025-07-29T12:32:11,SESS000022,5.9,42.2,0,0,0,0,0,0
INT000171,U000004,RL004118,2025-07-29T12:32:47,SESS000022,18.5,66.0,0,0,0,0,0,0
INT000172,U000004,RL002272,2025-07-29T12:33:13,SESS000022,13.1,32.8,0,0,0,0,0,0
INT000173,U000004,CAND000188,2025-07-29T12:33:50,SESS000022,19.1,58.0,0,0,0,0,0,0
INT000174,U000004,RL000297,2025-07-29T12:34:55,SESS000022,56.5,72.5,1,0,0,0,0,0
INT000175,U000004,RL002976,2025-07-29T12:35:23,SESS000022,24.7,45.0,0,0,0,0,0,0
INT000176,U000004,RL002588,2025-07-29T12:36:09,SESS000022,38.5,66.3,0,0,0,0,0,0
INT000177,U000004,RL002011,2025-11-10T21:47:12,SESS000023,31.4,50.7,0,0,0,0,0,0
INT000178,U000004,CAND000714,2025-11-10T21:47:53,SESS000023,24.3,31.9,0,0,0,0,0,0
INT000179,U000004,RL003264,2025-11-10T21:48:13,SESS000023,12.0,34.2,0,0,0,0,0,0
INT000180,U000005,RL002803,2025-06-29T00:42:09,SESS000024,35.4,43.8,0,0,0,0,0,0
INT000181,U000005,RL000392,2025-06-29T00:42:38,SESS000024,11.3,28.2,0,0,0,0,0,0
INT000182,U000005,RL003188,2025-06-29T00:43:15,SESS000024,34.2,38.8,0,0,0,0,0,0
INT000183,U000005,RL000602,2025-06-29T00:43:36,SESS000024,7.6,24.5,0,0,0,0,1,0
INT000184,U000005,RL000418,2025-08-20T17:27:52,SESS000025,42.4,58.1,0,0,0,0,0,0
INT000185,U000005,RL001498,2025-08-20T17:28:14,SESS000025,20.1,51.5,0,0,0,0,0,0
INT000186,U000005,RL004195,2025-08-20T17:28:34,SESS000025,3.9,19.4,0,0,0,0,1,0
INT000187,U000005,RL001869,2025-03-16T03:07:40,SESS000026,10.6,29.5,0,0,0,0,0,0
INT000188,U000005,CAND000801,2025-03-16T03:07:51,SESS000026,5.8,26.5,0,0,0,0,0,0
INT000189,U000005,RL000429,2025-03-16T03:08:28,SESS000026,28.6,32.5,0,0,0,0,0,0
INT000190,U000005,RL002306,2025-03-16T03:08:50,SESS000026,7.6,47.6,0,0,0,0,0,0
INT000191,U000005,RL000397,2025-03-16T03:09:28,SESS000026,25.9,30.5,0,0,0,0,0,0
INT000192,U000005,RL002383,2025-03-16T03:09:38,SESS000026,3.7,37.2,0,0,0,0,0,0
INT000193,U000005,RL004038,2025-03-16T03:10:13,SESS000026,16.6,36.1,0,0,0,0,0,0
INT000194,U000005,RL004973,2025-03-16T03:10:29,SESS000026,8.5,44.7,0,0,0,0,0,0
INT000195,U000005,RL002489,2025-03-16T03:10:41,SESS000026,4.6,5.4,0,0,0,0,1,0
INT000196,U000005,RL000724,2025-03-16T03:11:02,SESS000026,12.0,46.2,0,0,0,0,0,0
INT000197,U000005,RL003457,2025-03-16T03:11:15,SESS000026,1.3,5.8,0,0,0,0,1,0
INT000198,U000005,RL002091,2025-05-04T21:08:21,SESS000027,23.6,35.8,0,0,0,0,0,0
INT000199,U000005,RL002403,2025-05-04T21:08:50,SESS000027,20.8,27.0,0,0,0,0,0,0
INT000200,U000005,RL003031,2025-05-04T21:09:11,SESS000027,4.2,10.3,0,0,0,0,1,0
INT000201,U000005,RL004420,2025-05-04T21:09:55,SESS000027,28.6,50.2,0,0,0,0,0,0
INT000202,U000005,RL001321,2025-05-04T21:10:30,SESS000027,28.1,36.0,0,0,0,0,0,0
INT000203,U000005,RL002886,2025-05-04T21:10:42,SESS000027,10.0,17.5,0,0,0,0,1,0
INT000204,U000005,CAND000343,2025-05-04T21:11:14,SESS000027,22.7,40.6,0,0,0,0,0,0
INT000205,U000005,CAND000290,2025-05-04T21:12:03,SESS000027,40.4,56.2,0,0,0,0,0,0
INT000206,U000005,RL003713,2025-05-04T21:12:41,SESS000027,18.4,22.2,0,0,0,0,1,0
INT000207,U000005,RL002198,2025-05-04T21:13:35,SESS000027,46.8,62.4,0,0,0,0,0,0
INT000208,U000005,RL000131,2025-05-09T01:34:14,SESS000028,13.7,22.4,0,0,0,0,1,0
INT000209,U000005,RL001844,2025-05-09T01:34:24,SESS000028,0.9,5.2,0,0,0,0,1,0
INT000210,U000005,CAND000037,2025-05-09T01:35:00,SESS000028,22.0,33.3,0,0,0,0,0,0
INT000211,U000005,CAND000192,2025-05-09T01:35:23,SESS000028,4.5,34.7,0,0,0,0,0,0
INT000212,U000005,RL003030,2025-05-09T01:36:08,SESS000028,28.5,60.7,0,0,0,0,0,0
INT000213,U000005,RL000834,2025-05-09T01:36:33,SESS000028,7.2,28.6,0,0,0,0,0,0
INT000214,U000005,RL001972,2025-09-25T08:25:26,SESS000029,5.6,35.3,0,0,0,0,0,0
INT000215,U000005,CAND000050,2025-09-25T08:25:53,SESS000029,9.6,26.7,0,0,0,0,0,0
INT000216,U000005,RL002870,2025-09-25T08:26:25,SESS000029,22.5,72.6,0,0,0,0,0,0
INT000217,U000005,RL000234,2025-09-25T08:26:41,SESS000029,8.6,29.6,0,0,0,0,0,0
INT000218,U000005,RL002903,2025-06-14T15:05:06,SESS000030,19.5,32.5,0,0,0,0,0,0
INT000219,U000005,RL004235,2025-06-14T15:05:30,SESS000030,9.7,36.0,0,0,0,0,0,0
INT000220,U000005,CAND000237,2025-06-14T15:05:51,SESS000030,5.5,39.4,0,0,0,0,0,0
INT000221,U000005,RL000590,2025-06-14T15:06:00,SESS000030,2.0,6.3,0,0,0,0,1,0
INT000222,U000005,RL004997,2025-06-14T15:06:07,SESS000030,2.4,26.6,0,0,0,0,0,0
INT000223,U000005,RL002017,2025-06-14T15:06:35,SESS000030,13.0,16.4,0,0,0,0,1,0
INT000224,U000005,RL001403,2025-06-14T15:06:54,SESS000030,12.1,29.6,0,0,0,0,0,0
INT000225,U000005,RL000010,2025-06-14T15:07:56,SESS000030,50.0,65.0,0,0,0,0,0,0
INT000226,U000005,RL004952,2025-06-14T15:08:12,SESS000030,1.7,5.7,0,0,0,0,1,0
INT000227,U000005,RL004401,2025-05-13T03:32:56,SESS000031,1.3,16.2,0,0,0,0,1,0
INT000228,U000005,RL004384,2025-05-13T03:33:31,SESS000031,32.0,48.5,0,0,0,0,0,0
INT000229,U000005,RL002110,2025-05-13T03:34:12,SESS000031,23.2,28.0,0,0,0,0,0,0
INT000230,U000005,RL001727,2025-05-13T03:34:38,SESS000031,11.0,55.1,0,0,0,0,0,0
INT000231,U000005,RL002447,2025-05-13T03:34:53,SESS000031,11.1,55.5,0,0,0,0,0,0
INT000232,U000005,RL003748,2025-05-13T03:35:05,SESS000031,9.0,12.9,0,0,0,0,1,0
INT000233,U000005,RL002693,2025-05-13T03:35:24,SESS000031,7.7,16.1,0,0,0,0,1,0
INT000234,U000005,RL004587,2025-05-13T03:36:30,SESS000031,50.5,63.9,0,0,0,0,0,0
INT000235,U000005,RL002896,2025-05-13T03:37:11,SESS000031,35.1,47.4,0,0,0,0,0,0
INT000236,U000005,RL000061,2025-05-13T03:37:35,SESS000031,9.5,24.9,0,0,0,0,1,0
INT000237,U000006,RL004128,2025-05-07T20:56:07,SESS000032,18.4,22.4,0,0,0,0,1,0
INT000238,U000006,CAND000586,2025-05-07T20:56:46,SESS000032,25.3,76.7,1,0,0,0,0,0
INT000239,U000006,RL002101,2025-05-07T20:57:03,SESS000032,5.7,40.5,0,0,0,0,0,0
INT000240,U000006,RL003237,2025-05-07T20:57:45,SESS000032,31.3,45.3,0,0,0,0,0,0
INT000241,U000006,CAND000803,2025-05-07T20:57:58,SESS000032,4.4,34.2,0,0,0,0,0,0
INT000242,U000006,RL002893,2025-02-16T14:45:28,SESS000033,22.5,44.2,0,0,0,0,0,0
INT000243,U000006,RL000673,2025-02-16T14:45:55,SESS000033,9.1,82.4,1,0,0,0,0,0
INT000244,U000006,RL000021,2025-02-16T14:46:21,SESS000033,7.2,48.0,0,0,0,0,0,0
INT000245,U000006,RL002010,2025-09-02T13:32:13,SESS000034,5.2,43.5,0,0,0,0,0,0
INT000246,U000006,RL004275,2025-09-02T13:32:39,SESS000034,18.9,59.1,0,0,0,0,0,0
INT000247,U000006,CAND000192,2025-09-02T13:32:51,SESS000034,7.4,56.9,0,0,0,0,0,0
INT000248,U000006,RL001132,2025-09-02T13:32:57,SESS000034,0.0,0,0,0,0,0,1,0
INT000249,U000006,RL001372,2025-09-02T13:33:23,SESS000034,17.9,22.4,0,0,0,0,1,0
INT000250,U000006,RL003166,2025-09-02T13:34:25,SESS000034,57.8,64.3,0,0,0,0,0,0
INT000251,U000006,RL002730,2025-09-02T13:35:08,SESS000034,30.5,41.7,0,0,0,0,0,0
INT000252,U000006,RL002919,2025-09-02T13:35:18,SESS000034,3.0,37.1,0,0,0,0,0,0
INT000253,U000006,CAND000486,2025-09-02T13:35:38,SESS000034,11.4,54.4,0,0,0,0,0,0
INT000254,U000006,RL004626,2025-09-02T13:35:55,SESS000034,15.9,21.2,0,0,0,0,1,0
INT000255,U000006,RL000688,2025-01-09T09:26:05,SESS000035,30.6,53.7,0,0,0,0,0,0
INT000256,U000006,RL003479,2025-01-09T09:27:04,SESS000035,55.8,66.5,0,0,0,0,0,0
INT000257,U000006,RL003362,2025-01-09T09:27:35,SESS000035,11.5,29.6,0,0,0,0,0,0
INT000258,U000006,CAND000187,2025-01-09T09:28:26,SESS000035,41.1,60.5,0,0,0,0,0,0
INT000259,U000006,RL002901,2025-01-09T09:29:32,SESS000035,48.0,92.3,1,0,0,0,0,0
INT000260,U000006,RL001181,2025-01-09T09:29:53,SESS000035,17.1,63.5,0,0,0,0,0,0
INT000261,U000006,RL001709,2025-01-09T09:30:32,SESS000035,24.2,56.3,0,0,0,0,0,0
