reel_id,title,caption,transcript,ocr_text,visual_description,content_language,language_confidence,programming_languages,technologies,frameworks,topics,category,intent,difficulty,duration_seconds,creator_id,created_at,quality_score,hype_score,learning_value,career_value,practical_value,entertainment_value
RL000014,Programming developers be like,POV: debugging Programming at 2am,When your AI/ML code works on the first try but you have no idea why. Every developer knows this feeling.,,Person explaining AWS architecture using a whiteboard,Hindi-English,0.98,,,,Software Engineering,programming_meme,Entertainment,Beginner,30,CR000072,2025-09-01T02:40:44,0.274,0.518,0.032,0.17,0.198,0.949
RL000015,Java explained simply,Learn java explained simply in under a minute,"If you're preparing for placements, don't just memorize Java answers - understand how it actually works under the hood.",public static void main(String[] args),Terminal window running Java commands,Bengali,0.82,Java,GraphQL|GCP,Next.js,Cybersecurity,tech_educational,Curiosity,Intermediate,26,CR000029,2025-11-09T22:22:41,0.593,0.473,0.622,0.604,0.45,0.28
RL000016,Design Patterns explained simply,Learn design patterns explained simply in under a minute,"Let's break down the basics of Networking step by step, starting from what it actually is.",,Person explaining AWS architecture using a whiteboard,English,0.92,,MongoDB,Vue,Data Science,tech_educational,Project Help,Beginner,32,CR000069,2025-01-21T00:21:22,0.839,0.223,0.792,0.501,0.682,0.286
RL000017,Celebrity Fiction moment that broke the internet,Celebrity Fiction content - just for laughs,"Ee video lo manam Hardware gurinchi chuddam. First, hardware basics, then a quick example with real code.",,Stadium crowd celebrating a goal/wicket,Telugu-English,0.82,,,,Celebrity Fiction,entertainment,Entertainment,Beginner,9,CR000043,2025-03-24T06:11:29,0.305,0.168,0.125,0.202,0.266,0.798
RL000018,Learn EVERYTHING about coding in 24 hours!,Learn EVERYTHING about coding in 24 hours!,Become an AI Engineer in just 7 days - no experience needed!,,Cybersecurity terminal showing network commands,English,0.86,,,,Career,hype,Promotion,Advanced,53,CR000049,2025-04-30T18:42:14,0.108,0.855,0.205,0.166,0.122,0.164
RL000019,Lifestyle moment that broke the internet,Lifestyle content - just for laughs,"Let's break down the basics of Concurrency step by step, starting from what it actually is.",,Dance/lipsync trend clip,English,0.85,,,,Lifestyle,entertainment,Humor,Beginner,80,CR000041,2025-03-27T22:25:26,0.319,0.227,0.226,0.177,0.37,0.895
RL000020,Resume Tips,Resume Tips - what nobody tells you,"Ee video alli navu Memory Management bagge nodona. First, memory management basics, then a quick example with real code.",,Neural network diagram with labeled layers,Kannada-English,0.95,,,,Career,career,Interview Preparation,Beginner,71,CR000073,2025-08-02T20:21:37,0.576,0.194,0.31,0.71,0.379,0.148
RL000021,Rust explained simply,Learn rust explained simply in under a minute,"Ee video alli navu Rust bagge nodona. First, rust basics, then a quick example with real code.",let mut v: Vec<i32> = Vec::new();,Terminal window running Rust commands,Kannada-English,0.99,Rust,PostgreSQL|Linux,FastAPI,DevOps,tech_educational,Interview Preparation,Advanced,15,CR000070,2025-07-23T11:30:57,0.157,0.081,0.238,0.32,0.071,0.255
RL000022,Comedy moment that broke the internet,Comedy content - just for laughs,"Let's break down the basics of System Design step by step, starting from what it actually is.",,Stadium crowd celebrating a goal/wicket,Bengali,0.92,,,,Comedy,entertainment,Humor,Beginner,9,CR000009,2025-03-26T22:36:54,0.122,0.613,0.245,0.13,0.129,0.835
RL000023,Scala explained simply,Learn scala explained simply in under a minute,"Ee video lo manam Scala gurinchi chuddam. First, scala basics, then a quick example with real code.",// Scala example,Terminal window running Scala commands,Telugu-English,0.97,Scala,,Node.js,AI/ML,tech_educational,Learning,Beginner,75,CR000014,2025-02-27T19:49:30,0.646,0.497,0.757,0.621,0.579,0.202
RL000024,Memes moment that broke the internet,Memes content - just for laughs,"Let's break down the basics of Networking step by step, starting from what it actually is.",,Movie clip montage with trending audio,English,0.89,,,,Memes,entertainment,Entertainment,Beginner,36,CR000059,2025-04-27T11:57:58,0.433,0.054,0.226,0.262,0.34,0.804
RL000025,How Backend Systems Handle 1 Million Requests,Learn how backend systems handle 1 million requests in under a minute,"If you're preparing for placements, don't just memorize Java answers - understand how it actually works under the hood.",public static void main(String[] args),Laptop screen showing Java code in an IDE,English,0.8,Java|C|TypeScript,,Svelte,Frontend,tech_educational,Project Help,Intermediate,80,CR000030,2025-07-04T15:59:02,0.84,0.227,0.787,0.592,0.648,0.228
RL000026,Comedy moment that broke the internet,Comedy content - just for laughs,"Indha video la naam Cloud pathi parkalam. First, cloud basics, then a quick example with real code.",,Funny reaction clip with captions,Tamil-English,0.89,,,,Comedy,entertainment,Entertainment,Advanced,58,CR000027,2025-01-30T21:06:33,0.721,0.464,0.222,0.328,0.478,0.892
RL000027,Dart developers be like,POV: debugging Dart at 2am,When your Dart code works on the first try but you have no idea why. Every developer knows this feeling.,// Dart example,Whiteboard diagram explaining system architecture,Tamil-English,0.77,Dart,,,Software Engineering,programming_meme,Entertainment,Beginner,37,CR000007,2025-11-22T17:00:51,0.35,0.172,0.377,0.267,0.145,0.875
RL000028,Music moment that broke the internet,Music content - just for laughs,"Ee video alli navu AI/ML bagge nodona. First, ai/ml basics, then a quick example with real code.",,Movie clip montage with trending audio,Kannada-English,0.8,,,,Music,entertainment,Entertainment,Advanced,78,CR000063,2025-05-26T19:13:59,0.631,0.347,0.33,0.062,0.448,0.803
RL000029,Dart explained simply,Learn dart explained simply in under a minute,"If you're preparing for placements, don't just memorize Dart answers - understand how it actually works under the hood.",// Dart example,Split-screen code and output comparison,English,0.84,Dart,,Django,Career,tech_educational,Learning,Intermediate,19,CR000041,2025-01-03T00:25:22,0.882,0.186,0.912,0.556,0.861,0.229
RL000030,Become an AI Engineer in just 7 days - no experience needed!,Become an AI Engineer in just 7 days - no experience needed!,Learn EVERYTHING about coding in 24 hours!,,Person explaining AWS architecture using a whiteboard,Telugu-English,0.83,,,,AI/ML,hype,Motivation,Beginner,19,CR000012,2025-08-20T19:44:24,0.165,0.813,0.327,0.125,0.237,0.153
RL000031,Dart explained simply,Learn dart explained simply in under a minute,"Let's break down the basics of Dart step by step, starting from what it actually is.",,Whiteboard diagram explaining system architecture,English,0.79,Dart,,FastAPI,DevOps,tech_educational,Project Help,Beginner,29,CR000064,2025-06-18T19:28:35,0.86,0.155,0.878,0.511,0.676,0.307
RL000032,Lifestyle moment that broke the internet,Lifestyle content - just for laughs,"Let's break down the basics of PHP step by step, starting from what it actually is.",// PHP example,Dance/lipsync trend clip,English,0.98,PHP,,,Lifestyle,entertainment,Entertainment,Beginner,50,CR000001,2025-11-23T20:24:19,0.342,0.543,0.257,0.062,0.101,0.881
RL000033,SQL explained simply,Learn sql explained simply in under a minute,"If you're preparing for placements, don't just memorize SQL answers - understand how it actually works under the hood.",,Split-screen code and output comparison,English,0.82,SQL|Swift,Terraform,,Blockchain,tech_educational,Project Help,Intermediate,89,CR000041,2025-07-10T16:31:11,0.44,0.262,0.485,0.548,0.311,0.231
RL000034,Top secret AI trick recruiters don't want you to know,Top secret AI trick recruiters don't want you to know,5 tools that will REPLACE every programmer by 2026,,Two laptops side by side for a spec comparison,English,0.79,,,,AI/ML,hype,Motivation,Beginner,78,CR000070,2025-01-11T10:52:34,0.549,0.724,0.176,0.098,0.482,0.048
RL000035,Top secret AI trick recruiters don't want you to know,Top secret AI trick recruiters don't want you to know,Become an AI Engineer in just 7 days - no experience needed!,,Gaming setup with GPU comparison on screen,Kannada-English,0.91,,,,AI/ML,hype,Motivation,Intermediate,62,CR000033,2025-11-03T10:43:42,0.329,0.854,0.056,0.098,0.032,0.273
RL000036,Scala developers be like,POV: debugging Scala at 2am,When your Scala code works on the first try but you have no idea why. Every developer knows this feeling.,// Scala example,Laptop screen showing Scala code in an IDE,Kannada-English,0.93,Scala,,,Software Engineering,programming_meme,Entertainment,Intermediate,53,CR000014,2025-03-06T14:23:13,0.288,0.395,0.145,0.145,0.185,0.817
RL000037,Data Structures explained simply,Learn data structures explained simply in under a minute,"If you're preparing for placements, don't just memorize Load Balancing answers - understand how it actually works under the hood.",,Gaming setup with GPU comparison on screen,Bengali,0.93,,,,Cloud,tech_educational,Interview Preparation,Intermediate,79,CR000066,2025-08-14T10:49:21,0.806,0.23,0.683,0.573,0.685,0.433
RL000038,Load Balancing explained simply,Learn load balancing explained simply in under a minute,"If you're preparing for placements, don't just memorize Backend answers - understand how it actually works under the hood.",,Person explaining AWS architecture using a whiteboard,English,0.95,,AWS,Spring Boot,Backend,tech_educational,Project Help,Intermediate,26,CR000015,2025-05-16T06:39:30,0.831,0.111,0.901,0.561,0.662,0.236
RL000039,TypeScript developers be like,POV: debugging TypeScript at 2am,When your TypeScript code works on the first try but you have no idea why. Every developer knows this feeling.,,Split-screen code and output comparison,English,0.77,TypeScript,,,Software Engineering,programming_meme,Entertainment,Beginner,13,CR000041,2025-11-11T15:28:48,0.699,0.207,0.12,0.148,0.402,1.0
RL000040,Software Engineering Careers,Software Engineering Careers - what nobody tells you,"Let's break down the basics of Caching step by step, starting from what it actually is.",,Two laptops side by side for a spec comparison,English,0.88,,,,Career,career,Career,Beginner,50,CR000023,2025-08-06T10:10:13,0.406,0.09,0.223,0.717,0.416,0.16
RL000041,Dart explained simply,Learn dart explained simply in under a minute,"Aaj hum dekhenge ki Dart kaise kaam karta hai. First, dart basics, then a quick example with real code.",,Terminal window running Dart commands,Hindi-English,0.82,Dart,,Svelte,Career,tech_educational,Learning,Intermediate,16,CR000027,2025-08-13T05:16:21,0.525,0.066,0.547,0.564,0.369,0.263
RL000042,Lifestyle moment that broke the internet,Lifestyle content - just for laughs,"Let's break down the basics of Load Balancing step by step, starting from what it actually is.",,Movie clip montage with trending audio,English,0.98,,,,Lifestyle,entertainment,Entertainment,Beginner,48,CR000068,2025-08-20T20:10:17,0.451,0.103,0.136,0.254,0.282,0.744
RL000043,C++ developers be like,POV: debugging C++ at 2am,When your C++ code works on the first try but you have no idea why. Every developer knows this feeling.,"int main() { std::cout << ""hi""; }",Laptop screen showing C++ code in an IDE,English,0.78,C++,,,Software Engineering,programming_meme,Entertainment,Intermediate,23,CR000087,2025-04-03T15:39:32,0.654,0.262,0.249,0.255,0.423,0.81
RL000044,Programming developers be like,POV: debugging Programming at 2am,When your System Design code works on the first try but you have no idea why. Every developer knows this feeling.,,Two laptops side by side for a spec comparison,Kannada-English,0.85,,,,Software Engineering,programming_meme,Entertainment,Beginner,70,CR000050,2025-09-04T19:18:16,0.4,0.412,0.316,0.294,0.38,0.897
RL000045,JavaScript explained simply,Learn javascript explained simply in under a minute,"Let's break down the basics of JavaScript step by step, starting from what it actually is.",// Scala example,Split-screen code and output comparison,English,0.87,JavaScript|Scala,AWS,Django,Networking,tech_educational,Learning,Beginner,64,CR000088,2025-07-09T19:00:34,0.841,0.107,0.887,0.512,0.634,0.223
RL000046,Gaming moment that broke the internet,Gaming content - just for laughs,"Aaj hum dekhenge ki Deep Learning kaise kaam karta hai. First, deep learning basics, then a quick example with real code.",,Stadium crowd celebrating a goal/wicket,Hindi-English,0.86,,,,Gaming,entertainment,Entertainment,Beginner,71,CR000100,2025-08-02T11:49:09,0.506,0.311,0.267,0.085,0.502,0.839
RL000047,Rust explained simply,Learn rust explained simply in under a minute,"Indha video la naam Rust pathi parkalam. First, rust basics, then a quick example with real code.",,Laptop screen showing Rust code in an IDE,Tamil-English,0.81,Rust,,Spring Boot,Web Development,tech_educational,Interview Preparation,Intermediate,19,CR000058,2025-06-20T12:25:41,0.717,0.29,0.709,0.493,0.639,0.296
RL000048,Developer Tools update (2026),Latest in Developer Tools,"Aaj hum dekhenge ki System Design kaise kaam karta hai. First, system design basics, then a quick example with real code.",,Gaming setup with GPU comparison on screen,Hindi-English,0.94,,GraphQL|GCP,,Technology News,tech_news,News,Intermediate,80,CR000027,2025-05-17T05:50:14,0.636,0.445,0.345,0.2,0.535,0.322
RL000049,Designing a Scalable Backend API: From Code to Cloud,Learn designing a scalable backend api: from code to cloud in under a minute,"If you're preparing for placements, don't just memorize JavaScript answers - understand how it actually works under the hood.",const res = await fetch('/api/data');,Terminal window running JavaScript commands,English,0.79,JavaScript,,Angular,Mobile Development,tech_educational,Learning,Intermediate,49,CR000032,2025-11-18T18:00:36,0.882,0.125,0.985,0.466,0.726,0.138
RL000050,Gaming moment that broke the internet,Gaming content - just for laughs,"Let's break down the basics of Web Development step by step, starting from what it actually is.",,Movie clip montage with trending audio,English,0.9,,,,Gaming,entertainment,Humor,Beginner,19,CR000010,2025-06-06T10:50:28,0.351,0.246,0.084,0.061,0.244,0.784
RL000051,DSA explained simply,Learn dsa explained simply in under a minute,"If you're preparing for placements, don't just memorize Concurrency answers - understand how it actually works under the hood.",,Neural network diagram with labeled layers,Tamil,0.87,,Linux|GraphQL,,Career,tech_educational,Learning,Intermediate,49,CR000028,2025-11-18T16:43:19,0.228,0.29,0.321,0.454,0.197,0.183
RL000052,C# developers be like,POV: debugging C# at 2am,When your C# code works on the first try but you have no idea why. Every developer knows this feeling.,// C# example,Laptop screen showing C# code in an IDE,Kannada-English,0.9,C#,,,Software Engineering,programming_meme,Entertainment,Intermediate,66,CR000013,2025-01-07T07:45:11,0.497,0.615,0.15,0.216,0.397,0.955
RL000053,Memes moment that broke the internet,Memes content - just for laughs,"Let's break down the basics of System Design step by step, starting from what it actually is.",,Dance/lipsync trend clip,English,0.96,,,,Memes,entertainment,Entertainment,Beginner,43,CR000021,2025-02-06T05:59:30,0.049,0.512,0.133,0.139,0.078,0.741
RL000054,How Load Balancers Actually Work,Learn how load balancers actually work in under a minute,"Here's how DSA behaves at scale, and the trade-offs engineers make in production systems.",,Gaming setup with GPU comparison on screen,English,0.77,,,Vue,Cloud,tech_educational,Curiosity,Advanced,83,CR000062,2025-03-29T20:15:05,0.6,0.212,0.696,0.345,0.38,0.278
RL000055,Python explained simply,Learn python explained simply in under a minute,"Ee video lo manam Python gurinchi chuddam. First, python basics, then a quick example with real code.",,Whiteboard diagram explaining system architecture,Telugu-English,0.78,Python,GCP|Docker,Vue,Cloud,tech_educational,Project Help,Advanced,25,CR000039,2025-09-07T03:55:23,0.489,0.115,0.572,0.484,0.362,0.282
RL000056,You NEED to learn this or you'll be jobless by 2026,You NEED to learn this or you'll be jobless by 2026,5 tools that will REPLACE every programmer by 2027,,Gaming setup with GPU comparison on screen,Hindi-English,0.97,,,,Career,hype,Promotion,Beginner,25,CR000012,2025-10-20T05:18:06,0.484,0.555,0.262,0.178,0.299,0.282
RL000057,Cricket moment that broke the internet,Cricket content - just for laughs,"Let's break down the basics of AI/ML step by step, starting from what it actually is.",,Funny reaction clip with captions,English,0.88,,,,Cricket,entertainment,Entertainment,Beginner,84,CR000032,2025-10-08T01:52:53,0.504,0.188,0.229,0.126,0.529,0.808
RL000058,Python explained simply,Learn python explained simply in under a minute,"Indha video la naam Python pathi parkalam. First, python basics, then a quick example with real code.",def train_model(data): ...,Terminal window running Python commands,Tamil-English,0.9,Python,Jenkins|Terraform,,Web Development,tech_educational,Project Help,Beginner,17,CR000064,2025-07-25T03:59:13,0.762,0.502,0.803,0.491,0.561,0.321
RL000059,5 tools that will REPLACE every programmer by 2027,5 tools that will REPLACE every programmer by 2027,Top secret AI trick recruiters don't want you to know,,Person explaining AWS architecture using a whiteboard,English,0.89,,,,Career,hype,Motivation,Advanced,9,CR000003,2025-04-12T19:44:38,0.096,0.562,0.135,0.125,0.043,0.207
RL000060,Celebrity Fiction moment that broke the internet,Celebrity Fiction content - just for laughs,"If you're preparing for placements, don't just memorize Frontend answers - understand how it actually works under the hood.",,Movie clip montage with trending audio,Kannada,0.9,,,,Celebrity Fiction,entertainment,Humor,Intermediate,76,CR000011,2025-08-28T05:58:29,0.431,0.411,0.193,0.084,0.243,0.845
RL000061,Memes moment that broke the internet,Memes content - just for laughs,"If you're preparing for placements, don't just memorize Generative AI answers - understand how it actually works under the hood.",,Movie clip montage with trending audio,Hindi,0.98,,,,Memes,entertainment,Entertainment,Intermediate,38,CR000094,2025-01-23T11:43:21,0.374,0.099,0.148,0.145,0.249,0.898
RL000062,Comedy moment that broke the internet,Comedy content - just for laughs,"If you're preparing for placements, don't just memorize Algorithms answers - understand how it actually works under the hood.",,Funny reaction clip with captions,English,0.92,,,,Comedy,entertainment,Humor,Intermediate,9,CR000002,2025-03-05T15:01:50,0.248,0.199,0.171,0.191,0.224,0.847
RL000063,Designing a Scalable Backend API: From Code to Cloud,Learn designing a scalable backend api: from code to cloud in under a minute,"Indha video la naam Ruby pathi parkalam. First, ruby basics, then a quick example with real code.",// Ruby example,Laptop screen showing Ruby code in an IDE,Tamil-English,0.86,Ruby,,Svelte,Mobile Development,tech_educational,Learning,Beginner,54,CR000064,2025-01-22T12:43:47,0.559,0.28,0.664,0.455,0.301,0.266
RL000064,PHP explained simply,Learn php explained simply in under a minute,"If you're preparing for placements, don't just memorize PHP answers - understand how it actually works under the hood.",// PHP example,Terminal window running PHP commands,English,0.86,PHP,,,Deep Learning,tech_educational,Learning,Intermediate,57,CR000006,2025-02-28T06:53:25,0.789,0.185,0.868,0.553,0.698,0.216
RL000065,Memes moment that broke the internet,Memes content - just for laughs,"If you're preparing for placements, don't just memorize Cloud answers - understand how it actually works under the hood.",,Stadium crowd celebrating a goal/wicket,English,0.97,,,,Memes,entertainment,Entertainment,Intermediate,48,CR000054,2025-04-16T08:18:26,0.495,0.189,0.184,0.057,0.337,0.866
RL000066,Programming Language Updates update (2025),Latest in Programming Language Updates,"Here's how C++ behaves at scale, and the trade-offs engineers make in production systems.",,Split-screen code and output comparison,English,0.94,C++,Azure|MongoDB,,Technology News,tech_news,News,Advanced,47,CR000037,2025-05-08T02:39:56,0.546,0.27,0.105,0.13,0.439,0.229
RL000067,Gaming moment that broke the internet,Gaming content - just for laughs,"Let's break down the basics of Career step by step, starting from what it actually is.",,Dance/lipsync trend clip,English,0.98,,,,Gaming,entertainment,Entertainment,Beginner,33,CR000076,2025-10-12T11:03:11,0.292,0.502,0.345,0.178,0.209,0.694
RL000068,Learn EVERYTHING about coding in 24 hours!,Learn EVERYTHING about coding in 24 hours!,You NEED to learn this or you'll be jobless by 2026,,Cybersecurity terminal showing network commands,English,0.93,,,,Career,hype,Promotion,Beginner,56,CR000001,2025-11-26T17:18:33,0.101,0.57,0.167,0.097,0.0,0.311
RL000069,Internship Advice,Internship Advice - what nobody tells you,"Let's break down the basics of TypeScript step by step, starting from what it actually is.",// TypeScript example,Whiteboard diagram explaining system architecture,English,0.76,TypeScript,,,Career,career,Career,Beginner,37,CR000012,2025-11-25T08:40:14,0.794,0.316,0.226,0.796,0.545,0.218
RL000070,PHP explained simply,Learn php explained simply in under a minute,"If you're preparing for placements, don't just memorize PHP answers - understand how it actually works under the hood.",// PHP example,Terminal window running PHP commands,English,0.81,PHP,GCP|Jenkins,,Hardware,tech_educational,Project Help,Intermediate,48,CR000038,2025-11-08T00:09:13,0.708,0.234,0.654,0.582,0.461,0.308
RL000071,Swift developers be like,POV: debugging Swift at 2am,When your Swift code works on the first try but you have no idea why. Every developer knows this feeling.,,Laptop screen showing Swift code in an IDE,English,0.78,Swift|SQL,,,Software Engineering,programming_meme,Entertainment,Beginner,65,CR000020,2025-06-30T23:56:54,0.483,0.324,0.122,0.161,0.474,0.87
RL000072,Programming developers be like,POV: debugging Programming at 2am,When your Software Engineering code works on the first try but you have no idea why. Every developer knows this feeling.,,Cybersecurity terminal showing network commands,English,0.81,,,,Software Engineering,programming_meme,Entertainment,Intermediate,23,CR000060,2025-02-05T02:47:01,0.387,0.306,0.165,0.166,0.335,0.921
RL000073,Music moment that broke the internet,Music content - just for laughs,"Ee video lo manam REST gurinchi chuddam. First, rest basics, then a quick example with real code.",,Stadium crowd celebrating a goal/wicket,Telugu-English,0.85,,,,Music,entertainment,Entertainment,Beginner,14,CR000046,2025-09-20T23:48:23,0.725,0.163,0.176,0.021,0.642,0.934
RL000074,Python developers be like,POV: debugging Python at 2am,When your Python code works on the first try but you have no idea why. Every developer knows this feeling.,,Split-screen code and output comparison,Malayalam,0.94,Python|Dart,,,Software Engineering,programming_meme,Entertainment,Intermediate,25,CR000014,2025-02-17T04:01:35,0.724,0.1,0.186,0.157,0.542,0.791
RL000075,Memes moment that broke the internet,Memes content - just for laughs,"Let's break down the basics of REST step by step, starting from what it actually is.",,Dance/lipsync trend clip,Hindi,0.76,,,,Memes,entertainment,Humor,Beginner,16,CR000010,2025-03-18T19:10:00,0.401,0.369,0.24,0.202,0.536,0.705
RL000076,Top secret AI trick recruiters don't want you to know,Top secret AI trick recruiters don't want you to know,Learn EVERYTHING about coding in 24 hours!,,Gaming setup with GPU comparison on screen,English,0.85,,,,AI/ML,hype,Promotion,Advanced,58,CR000074,2025-07-12T16:13:59,0.481,0.634,0.119,0.213,0.308,0.252
RL000077,Cricket moment that broke the internet,Cricket content - just for laughs,"Let's break down the basics of AI/ML step by step, starting from what it actually is.",,Movie clip montage with trending audio,English,0.76,,,,Cricket,entertainment,Humor,Beginner,87,CR000020,2025-08-28T14:38:38,0.603,0.136,0.185,0.101,0.479,0.816
RL000078,Cricket moment that broke the internet,Cricket content - just for laughs,"Let's break down the basics of Scala step by step, starting from what it actually is.",,Stadium crowd celebrating a goal/wicket,English,0.99,Scala,,,Cricket,entertainment,Humor,Beginner,77,CR000081,2025-11-05T16:30:14,0.261,0.18,0.146,0.125,0.149,0.876
RL000079,Celebrity Fiction moment that broke the internet,Celebrity Fiction content - just for laughs,"If you're preparing for placements, don't just memorize Scala answers - understand how it actually works under the hood.",// Scala example,Funny reaction clip with captions,English,0.89,Scala,,,Celebrity Fiction,entertainment,Humor,Intermediate,11,CR000041,2025-11-11T20:10:21,0.619,0.424,0.221,0.236,0.497,1.0
RL000080,Technical Interviews,Technical Interviews - what nobody tells you,"Let's break down the basics of Data Structures step by step, starting from what it actually is.",,Person explaining AWS architecture using a whiteboard,Malayalam,0.91,,,,Career,career,Career,Beginner,42,CR000032,2025-07-27T06:20:50,0.461,0.25,0.185,0.574,0.44,0.211
RL000081,Programming Language Updates update (2025),Latest in Programming Language Updates,"If you're preparing for placements, don't just memorize Go answers - understand how it actually works under the hood.",,Whiteboard diagram explaining system architecture,English,0.76,Go|Dart,Redis|Jenkins,,Technology News,tech_news,News,Intermediate,53,CR000076,2025-08-09T10:53:39,0.539,0.272,0.023,0.133,0.352,0.239
RL000082,How Backend Systems Handle 1 Million Requests,Learn how backend systems handle 1 million requests in under a minute,"Ee video alli navu TypeScript bagge nodona. First, typescript basics, then a quick example with real code.",,Split-screen code and output comparison,Kannada-English,0.83,TypeScript,,,Web Development,tech_educational,Learning,Intermediate,86,CR000001,2025-03-20T05:47:02,0.476,0.202,0.337,0.557,0.399,0.326
RL000083,Programming Language Updates update (2025),Latest in Programming Language Updates,"Let's break down the basics of JavaScript step by step, starting from what it actually is.",const res = await fetch('/api/data');,Laptop screen showing JavaScript code in an IDE,Tamil,0.92,JavaScript,Docker|GraphQL,,Technology News,tech_news,News,Beginner,58,CR000048,2025-08-16T14:04:16,0.686,0.301,0.148,0.106,0.556,0.263
RL000084,Lifestyle moment that broke the internet,Lifestyle content - just for laughs,"Here's how Algorithms behaves at scale, and the trade-offs engineers make in production systems.",,Dance/lipsync trend clip,English,0.91,,,,Lifestyle,entertainment,Humor,Advanced,30,CR000029,2025-05-27T22:47:43,0.436,0.089,0.14,0.23,0.295,0.961
