user_id,persona,true_primary_interest,primary_language_pref,secondary_language_pref,skill_level,joined_at
U000054,ai_focused,AI / Machine Learning,English,Hindi,Beginner,2025-03-14T19:51:37
U000055,mixed_interest,Mixed Technology Interests,English,Telugu,Beginner,2025-01-29T11:00:32
U000056,frontend_focused,Frontend / Web Development,English,Hindi,Intermediate,2025-01-18T02:04:19
U000057,frontend_focused,Frontend / Web Development,Kannada,Bengali,Beginner,2025-04-01T22:03:01
U000058,frontend_focused,Frontend / Web Development,English,Telugu,Intermediate,2025-05-15T23:29:13
U000059,backend_focused,Backend Engineering,Hindi,Bengali,Intermediate,2025-05-31T14:21:10
U000060,ai_focused,AI / Machine Learning,English,Tamil,Beginner,2025-01-16T19:08:59
U000061,ai_focused,AI / Machine Learning,Hindi,Telugu,Advanced,2025-04-09T14:10:21
U000062,ai_focused,AI / Machine Learning,Hindi,Telugu,Beginner,2025-02-25T13:06:41
U000063,cybersecurity_focused,Cybersecurity,English,Tamil,Beginner,2025-01-03T01:48:51
U000064,mixed_interest,Mixed Technology Interests,Tamil,English,Advanced,2025-02-24T04:32:34
U000065,mixed_interest,Mixed Technology Interests,English,Telugu,Beginner,2025-02-20T20:46:08
U000066,mixed_interest,Mixed Technology Interests,English,Hindi,Intermediate,2025-02-11T06:05:45
U000067,cybersecurity_focused,Cybersecurity,Kannada,Tamil,Intermediate,2025-05-23T12:49:23
U000068,mixed_interest,Mixed Technology Interests,Telugu,Bengali,Advanced,2025-04-26T10:11:22
U000069,entertainment_heavy,Entertainment,English,Kannada,Beginner,2025-01-27T13:15:44
U000070,mixed_interest,Mixed Technology Interests,English,Bengali,Beginner,2025-04-20T00:35:19
U000071,hardware_focused,Hardware / Developer Gear,Telugu,Kannada,Advanced,2025-05-16T09:53:03
U000072,backend_focused,Backend Engineering,English,Kannada,Beginner,2025-04-07T04:04:19
U000073,frontend_focused,Frontend / Web Development,Telugu,Kannada,Advanced,2025-04-04T12:17:10
U000074,entertainment_heavy,Entertainment,Telugu,English,Intermediate,2025-05-01T05:52:08
U000075,backend_focused,Backend Engineering,Malayalam,Hindi,Intermediate,2025-04-16T04:54:36
U000076,ai_focused,AI / Machine Learning,Telugu,Malayalam,Intermediate,2025-03-15T15:43:43
U000077,ai_focused,AI / Machine Learning,Hindi,Bengali,Intermediate,2025-03-19T16:25:47
U000078,ai_focused,AI / Machine Learning,Telugu,Bengali,Intermediate,2025-01-26T02:29:15
U000079,frontend_focused,Frontend / Web Development,Tamil,Kannada,Intermediate,2025-01-21T16:14:36
U000080,entertainment_heavy,Entertainment,Telugu,Hindi,Intermediate,2025-05-01T01:36:23
U000081,backend_focused,Backend Engineering,Tamil,English,Intermediate,2025-02-18T11:07:23
U000082,frontend_focused,Frontend / Web Development,Tamil,Kannada,Intermediate,2025-04-05T17:58:41
U000083,ai_focused,AI / Machine Learning,Telugu,Bengali,Advanced,2025-01-27T18:22:54
U000084,backend_focused,Backend Engineering,Bengali,Telugu,Beginner,2025-02-28T12:07:46
U000085,cybersecurity_focused,Cybersecurity,Tamil,Telugu,Intermediate,2025-05-08T12:54:32
U000086,ai_focused,AI / Machine Learning,Malayalam,Kannada,Intermediate,2025-03-15T15:20:07
U000087,cybersecurity_focused,Cybersecurity,English,Kannada,Beginner,2025-04-21T10:47:27
U000088,cybersecurity_focused,Cybersecurity,Bengali,English,Beginner,2025-02-25T22:23:44
U000089,mixed_interest,Mixed Technology Interests,English,Bengali,Intermediate,2025-02-20T05:26:06
U000090,mixed_interest,Mixed Technology Interests,Hindi,Kannada,Intermediate,2025-02-20T00:36:32
U000091,frontend_focused,Frontend / Web Development,Tamil,Hindi,Intermediate,2025-05-21T18:12:21
U000092,mixed_interest,Mixed Technology Interests,Telugu,Bengali,Beginner,2025-05-10T00:40:54
U000093,ai_focused,AI / Machine Learning,Telugu,Bengali,Intermediate,2025-05-07T03:47:21
U000094,mixed_interest,Mixed Technology Interests,English,Bengali,Beginner,2025-04-09T09:57:18
U000095,frontend_focused,Frontend / Web Development,Tamil,Malayalam,Beginner,2025-03-03T23:35:41
U000096,backend_focused,Backend Engineering,English,Tamil,Beginner,2025-02-09T01:59:07
U000097,ai_focused,AI / Machine Learning,Hindi,Tamil,Intermediate,2025-05-13T09:17:19
U000098,backend_focused,Backend Engineering,Malayalam,Hindi,Intermediate,2025-01-10T05:37:59
U000099,frontend_focused,Frontend / Web Development,Hindi,Malayalam,Beginner,2025-03-03T22:51:39
U000100,backend_focused,Backend Engineering,Tamil,Malayalam,Beginner,2025-01-27T20:01:38
U000101,mixed_interest,Mixed Technology Interests,Hindi,Malayalam,Beginner,2025-01-07T17:22:33
U000102,entertainment_heavy,Entertainment,English,Kannada,Beginner,2025-01-28T01:40:48
U000103,cybersecurity_focused,Cybersecurity,English,Kannada,Intermediate,2025-03-30T23:17:43
U000104,frontend_focused,Frontend / Web Development,Tamil,English,Intermediate,2025-03-17T17:42:01
U000105,frontend_focused,Frontend / Web Development,Kannada,Telugu,Beginner,2025-04-17T13:15:05
U000106,backend_focused,Backend Engineering,English,Kannada,Advanced,2025-04-25T17:48:44
U000107,cybersecurity_focused,Cybersecurity,Kannada,English,Beginner,2025-01-04T11:22:42
U000108,entertainment_heavy,Entertainment,Kannada,Tamil,Advanced,2025-01-13T06:11:50
U000109,ai_focused,AI / Machine Learning,Kannada,English,Beginner,2025-05-06T14:38:06
U000110,entertainment_heavy,Entertainment,Kannada,Bengali,Intermediate,2025-01-06T07:12:21
U000111,cybersecurity_focused,Cybersecurity,English,Kannada,Beginner,2025-03-17T12:21:11
U000112,ai_focused,AI / Machine Learning,English,Kannada,Intermediate,2025-03-12T09:13:17
U000113,hardware_focused,Hardware / Developer Gear,English,Tamil,Intermediate,2025-03-19T03:20:55
U000114,cybersecurity_focused,Cybersecurity,Telugu,English,Intermediate,2025-01-11T12:39:33
U000115,backend_focused,Backend Engineering,Hindi,Kannada,Beginner,2025-04-02T21:56:34
U000116,frontend_focused,Frontend / Web Development,English,Telugu,Advanced,2025-04-03T16:02:03
U000117,cybersecurity_focused,Cybersecurity,English,Bengali,Advanced,2025-04-25T06:13:05
U000118,hardware_focused,Hardware / Developer Gear,English,Kannada,Beginner,2025-02-21T06:44:51
U000119,frontend_focused,Frontend / Web Development,Hindi,English,Intermediate,2025-05-07T07:29:44
U000120,backend_focused,Backend Engineering,Hindi,Bengali,Advanced,2025-03-10T18:35:46
U000121,frontend_focused,Frontend / Web Development,Telugu,English,Beginner,2025-05-07T10:56:59
U000122,mixed_interest,Mixed Technology Interests,Bengali,Kannada,Intermediate,2025-02-18T13:55:30
U000123,mixed_interest,Mixed Technology Interests,Hindi,Malayalam,Beginner,2025-03-13T23:55:01
U000124,cybersecurity_focused,Cybersecurity,English,Malayalam,Advanced,2025-05-06T15:41:43
U000125,frontend_focused,Frontend / Web Development,Hindi,English,Beginner,2025-02-24T02:11:10
U000126,ai_focused,AI / Machine Learning,English,Telugu,Intermediate,2025-02-06T21:41:14
U000127,mixed_interest,Mixed Technology Interests,Tamil,English,Intermediate,2025-05-21T08:00:59
U000128,ai_focused,AI / Machine Learning,Kannada,Malayalam,Intermediate,2025-04-06T12:41:07
U000129,entertainment_heavy,Entertainment,English,Tamil,Intermediate,2025-01-26T18:07:49
U000130,hardware_focused,Hardware / Developer Gear,English,Hindi,Beginner,2025-03-11T10:27:24
U000131,mixed_interest,Mixed Technology Interests,Kannada,Tamil,Intermediate,2025-05-05T08:52:32
U000132,frontend_focused,Frontend / Web Development,Telugu,Kannada,Beginner,2025-05-03T11:29:49
U000133,mixed_interest,Mixed Technology Interests,Telugu,Bengali,Advanced,2025-02-16T12:32:08
U000134,mixed_interest,Mixed Technology Interests,Malayalam,Tamil,Beginner,2025-04-19T15:23:17
U000135,ai_focused,AI / Machine Learning,Tamil,Kannada,Intermediate,2025-04-15T00:05:03
U000136,ai_focused,AI / Machine Learning,Malayalam,Kannada,Intermediate,2025-05-05T00:56:46
U000137,backend_focused,Backend Engineering,Hindi,Kannada,Beginner,2025-04-25T18:17:04
U000138,ai_focused,AI / Machine Learning,English,Malayalam,Beginner,2025-01-12T02:54:59
U000139,entertainment_heavy,Entertainment,English,Hindi,Intermediate,2025-03-15T21:20:51
U000140,cybersecurity_focused,Cybersecurity,Kannada,English,Beginner,2025-02-14T12:16:44
U000141,mixed_interest,Mixed Technology Interests,Kannada,Malayalam,Beginner,2025-03-26T14:56:39
U000142,entertainment_heavy,Entertainment,Kannada,English,Intermediate,2025-03-28T09:51:26
U000143,mixed_interest,Mixed Technology Interests,English,Hindi,Beginner,2025-02-05T14:53:39
U000144,entertainment_heavy,Entertainment,Telugu,Hindi,Advanced,2025-04-22T05:04:31
U000145,mixed_interest,Mixed Technology Interests,Tamil,English,Beginner,2025-02-05T12:02:01
U000146,backend_focused,Backend Engineering,Hindi,Telugu,Advanced,2025-05-20T23:21:56
U000147,cybersecurity_focused,Cybersecurity,English,Hindi,Intermediate,2025-02-04T09:02:14
U000148,ai_focused,AI / Machine Learning,English,Hindi,Beginner,2025-02-03T15:02:30
U000149,entertainment_heavy,Entertainment,Telugu,English,Advanced,2025-01-22T09:34:50
U000150,backend_focused,Backend Engineering,Hindi,Malayalam,Intermediate,2025-01-19T17:54:42
U000151,mixed_interest,Mixed Technology Interests,English,Telugu,Intermediate,2025-04-17T06:35:35
U000152,cybersecurity_focused,Cybersecurity,Hindi,English,Beginner,2025-02-26T06:45:09
U000153,entertainment_heavy,Entertainment,Telugu,Malayalam,Advanced,2025-05-14T13:44:28
U000154,backend_focused,Backend Engineering,English,Kannada,Beginner,2025-02-21T21:58:51
U000155,ai_focused,AI / Machine Learning,Telugu,Bengali,Beginner,2025-02-11T23:10:37
U000156,frontend_focused,Frontend / Web Development,Hindi,Bengali,Beginner,2025-02-28T19:32:53
U000157,mixed_interest,Mixed Technology Interests,Telugu,Tamil,Intermediate,2025-01-25T19:45:06
U000158,backend_focused,Backend Engineering,Kannada,English,Beginner,2025-04-27T19:28:16
U000159,entertainment_heavy,Entertainment,Kannada,English,Intermediate,2025-01-08T11:28:02
U000160,cybersecurity_focused,Cybersecurity,Telugu,Bengali,Advanced,2025-05-01T16:20:17
U000161,frontend_focused,Frontend / Web Development,English,Hindi,Advanced,2025-03-06T07:49:32
U000162,cybersecurity_focused,Cybersecurity,Telugu,Hindi,Intermediate,2025-03-17T17:58:33
U000163,backend_focused,Backend Engineering,Bengali,Malayalam,Advanced,2025-04-14T21:53:51
U000164,entertainment_heavy,Entertainment,English,Hindi,Advanced,2025-04-25T14:54:15
U000165,cybersecurity_focused,Cybersecurity,Hindi,Bengali,Beginner,2025-04-08T04:35:57
U000166,hardware_focused,Hardware / Developer Gear,Telugu,Hindi,Advanced,2025-04-24T19:11:18
U000167,mixed_interest,Mixed Technology Interests,Telugu,Kannada,Advanced,2025-05-19T03:14:00
U000168,ai_focused,AI / Machine Learning,Malayalam,Kannada,Beginner,2025-04-05T05:33:41
U000169,ai_focused,AI / Machine Learning,Hindi,Bengali,Beginner,2025-05-04T01:31:57
U000170,backend_focused,Backend Engineering,English,Kannada,Intermediate,2025-01-12T13:54:03
U000171,frontend_focused,Frontend / Web Development,English,Malayalam,Intermediate,2025-05-24T01:05:01
U000172,cybersecurity_focused,Cybersecurity,English,Malayalam,Intermediate,2025-01-23T06:37:32
U000173,hardware_focused,Hardware / Developer Gear,Kannada,Hindi,Beginner,2025-03-20T08:23:56
U000174,hardware_focused,Hardware / Developer Gear,Malayalam,Telugu,Intermediate,2025-03-31T07:29:29
U000175,mixed_interest,Mixed Technology Interests,Malayalam,Bengali,Beginner,2025-05-09T23:22:11
U000176,entertainment_heavy,Entertainment,Telugu,Kannada,Beginner,2025-01-10T02:35:23
U000177,mixed_interest,Mixed Technology Interests,Kannada,Hindi,Beginner,2025-05-07T07:53:27
U000178,mixed_interest,Mixed Technology Interests,Telugu,Malayalam,Intermediate,2025-03-27T04:09:11
U000179,entertainment_heavy,Entertainment,Tamil,Malayalam,Intermediate,2025-03-28T04:00:41
U000180,entertainment_heavy,Entertainment,English,Malayalam,Advanced,2025-04-14T20:47:08
U000181,hardware_focused,Hardware / Developer Gear,Kannada,Bengali,Beginner,2025-01-26T05:33:54
U000182,mixed_interest,Mixed Technology Interests,Telugu,Tamil,Advanced,2025-03-05T17:47:27
U000183,cybersecurity_focused,Cybersecurity,Kannada,Malayalam,Intermediate,2025-05-27T07:52:45
U000184,ai_focused,AI / Machine Learning,Telugu,English,Beginner,2025-01-25T15:43:39
U000185,frontend_focused,Frontend / Web Development,Hindi,Tamil,Beginner,2025-02-20T11:41:17
U000186,frontend_focused,Frontend / Web Development,Kannada,Malayalam,Intermediate,2025-04-04T12:02:00
U000187,backend_focused,Backend Engineering,English,Bengali,Intermediate,2025-04-21T02:14:25
U000188,mixed_interest,Mixed Technology Interests,Malayalam,Telugu,Intermediate,2025-01-20T11:21:42
U000189,entertainment_heavy,Entertainment,English,Malayalam,Beginner,2025-02-09T23:40:39
U000190,hardware_focused,Hardware / Developer Gear,Malayalam,Telugu,Advanced,2025-03-13T19:37:40
U000191,cybersecurity_focused,Cybersecurity,Telugu,Bengali,Beginner,2025-05-18T12:11:46
U000192,cybersecurity_focused,Cybersecurity,English,Malayalam,Beginner,2025-05-06T11:07:39
U000193,backend_focused,Backend Engineering,Kannada,Telugu,Beginner,2025-04-13T16:54:35
U000194,backend_focused,Backend Engineering,Malayalam,English,Beginner,2025-04-17T04:38:31
U000195,mixed_interest,Mixed Technology Interests,English,Kannada,Beginner,2025-01-22T08:05:46
U000196,backend_focused,Backend Engineering,Hindi,English,Beginner,2025-05-01T02:19:55
U000197,backend_focused,Backend Engineering,English,Hindi,Intermediate,2025-03-28T15:17:54
U000198,entertainment_heavy,Entertainment,English,Bengali,Advanced,2025-05-14T02:14:12
U000199,entertainment_heavy,Entertainment,Tamil,Bengali,Beginner,2025-03-29T16:25:14
U000200,ai_focused,AI / Machine Learning,Malayalam,Telugu,Advanced,2025-03-20T18:27:00
U000201,mixed_interest,Mixed Technology Interests,Hindi,Tamil,Beginner,2025-03-16T21:22:24
U000202,ai_focused,AI / Machine Learning,Telugu,Hindi,Intermediate,2025-04-10T04:17:02
U000203,cybersecurity_focused,Cybersecurity,English,Tamil,Intermediate,2025-03-03T00:11:42
U000204,entertainment_heavy,Entertainment,Tamil,English,Intermediate,2025-01-07T19:07:50
U000205,hardware_focused,Hardware / Developer Gear,Telugu,Tamil,Beginner,2025-03-27T20:00:31
U000206,backend_focused,Backend Engineering,English,Malayalam,Intermediate,2025-05-30T01:31:36
U000207,mixed_interest,Mixed Technology Interests,Telugu,English,Beginner,2025-05-19T06:01:16
U000208,cybersecurity_focused,Cybersecurity,English,Tamil,Advanced,2025-04-10T19:00:39
U000209,frontend_focused,Frontend / Web Development,English,Tamil,Intermediate,2025-05-09T02:56:42
U000210,mixed_interest,Mixed Technology Interests,Tamil,English,Beginner,2025-02-10T22:19:27
U000211,mixed_interest,Mixed Technology Interests,English,Bengali,Beginner,2025-05-28T10:20:59
U000212,ai_focused,AI / Machine Learning,English,Bengali,Intermediate,2025-02-05T23:01:04
U000213,entertainment_heavy,Entertainment,Malayalam,Bengali,Beginner,2025-04-26T12:46:33
U000214,ai_focused,AI / Machine Learning,English,Malayalam,Beginner,2025-01-02T08:16:32
U000215,entertainment_heavy,Entertainment,Tamil,English,Advanced,2025-01-26T08:47:28
U000216,frontend_focused,Frontend / Web Development,Tamil,English,Advanced,2025-04-07T05:27:10
U000217,backend_focused,Backend Engineering,English,Bengali,Beginner,2025-05-21T14:40:37
U000218,frontend_focused,Frontend / Web Development,Hindi,Bengali,Intermediate,2025-04-22T11:41:02
U000219,hardware_focused,Hardware / Developer Gear,English,Kannada,Intermediate,2025-05-28T03:05:33
U000220,mixed_interest,Mixed Technology Interests,Malayalam,English,Intermediate,2025-01-31T09:52:35
U000221,mixed_interest,Mixed Technology Interests,Telugu,Malayalam,Beginner,2025-03-03T16:29:29
U000222,ai_focused,AI / Machine Learning,English,Hindi,Intermediate,2025-04-25T21:37:36
U000223,cybersecurity_focused,Cybersecurity,Malayalam,Kannada,Beginner,2025-02-24T08:05:59
U000224,frontend_focused,Frontend / Web Development,Hindi,English,Intermediate,2025-05-07T02:30:59
U000225,mixed_interest,Mixed Technology Interests,Telugu,English,Intermediate,2025-01-23T15:43:11
U000226,mixed_interest,Mixed Technology Interests,English,Telugu,Advanced,2025-05-21T04:45:15
U000227,frontend_focused,Frontend / Web Development,English,Kannada,Beginner,2025-02-22T15:24:25
U000228,ai_focused,AI / Machine Learning,Hindi,Tamil,Advanced,2025-05-02T21:45:15
U000229,entertainment_heavy,Entertainment,Malayalam,Telugu,Beginner,2025-04-01T14:09:38
U000230,entertainment_heavy,Entertainment,English,Malayalam,Beginner,2025-03-12T12:57:13
U000231,cybersecurity_focused,Cybersecurity,English,Bengali,Intermediate,2025-05-05T12:53:35
U000232,mixed_interest,Mixed Technology Interests,Hindi,Telugu,Beginner,2025-02-24T07:38:48
U000233,ai_focused,AI / Machine Learning,English,Hindi,Intermediate,2025-03-08T12:37:40
U000234,hardware_focused,Hardware / Developer Gear,English,Bengali,Beginner,2025-05-12T17:07:29
U000235,frontend_focused,Frontend / Web Development,Malayalam,Hindi,Advanced,2025-05-15T20:43:50
U000236,backend_focused,Backend Engineering,Hindi,Malayalam,Beginner,2025-01-30T18:03:15
U000237,entertainment_heavy,Entertainment,English,Bengali,Advanced,2025-02-15T05:42:09
U000238,backend_focused,Backend Engineering,Hindi,English,Beginner,2025-04-03T21:44:50
U000239,mixed_interest,Mixed Technology Interests,English,Kannada,Beginner,2025-02-23T10:58:47
U000240,ai_focused,AI / Machine Learning,Malayalam,Hindi,Intermediate,2025-02-13T00:13:00
U000241,ai_focused,AI / Machine Learning,Bengali,Kannada,Intermediate,2025-05-17T18:30:52
U000242,mixed_interest,Mixed Technology Interests,Tamil,Hindi,Intermediate,2025-02-12T13:07:31
U000243,backend_focused,Backend Engineering,English,Malayalam,Intermediate,2025-04-18T15:53:57
U000244,frontend_focused,Frontend / Web Development,Telugu,Tamil,Beginner,2025-03-09T16:08:10
U000245,frontend_focused,Frontend / Web Development,English,Malayalam,Beginner,2025-03-14T04:12:17
U000246,frontend_focused,Frontend / Web Development,Telugu,Kannada,Beginner,2025-01-04T19:04:45
U000247,entertainment_heavy,Entertainment,English,Bengali,Beginner,2025-03-24T14:58:28
U000248,ai_focused,AI / Machine Learning,Hindi,English,Advanced,2025-03-21T09:29:38
U000249,ai_focused,AI / Machine Learning,Hindi,Bengali,Beginner,2025-05-20T23:11:18
U000250,frontend_focused,Frontend / Web Development,English,Bengali,Beginner,2025-03-07T13:49:55
U000251,mixed_interest,Mixed Technology Interests,English,Bengali,Beginner,2025-03-09T13:07:35
U000252,entertainment_heavy,Entertainment,English,Kannada,Intermediate,2025-03-05T19:13:07
U000253,frontend_focused,Frontend / Web Development,Kannada,Tamil,Beginner,2025-01-30T15:33:14
U000254,ai_focused,AI / Machine Learning,English,Bengali,Intermediate,2025-03-29T19:14:33
U000255,cybersecurity_focused,Cybersecurity,English,Malayalam,Beginner,2025-04-24T12:40:46
U000256,backend_focused,Backend Engineering,Kannada,Tamil,Beginner,2025-02-01T21:39:28
U000257,ai_focused,AI / Machine Learning,Tamil,Telugu,Beginner,2025-03-27T04:17:46
U000258,frontend_focused,Frontend / Web Development,English,Kannada,Beginner,2025-05-03T02:55:56
U000259,hardware_focused,Hardware / Developer Gear,Tamil,Bengali,Beginner,2025-05-27T11:01:41
U000260,entertainment_heavy,Entertainment,English,Malayalam,Intermediate,2025-04-28T20:20:13
U000261,frontend_focused,Frontend / Web Development,English,Hindi,Beginner,2025-05-20T10:27:52
U000262,entertainment_heavy,Entertainment,English,Kannada,Beginner,2025-03-07T07:27:35
U000263,frontend_focused,Frontend / Web Development,English,Malayalam,Beginner,2025-04-06T20:04:30
U000264,backend_focused,Backend Engineering,Telugu,English,Beginner,2025-01-11T17:55:38
U000265,frontend_focused,Frontend / Web Development,English,Tamil,Advanced,2025-03-23T03:54:15
U000266,backend_focused,Backend Engineering,English,Malayalam,Beginner,2025-04-02T22:50:00
U000267,backend_focused,Backend Engineering,English,Telugu,Intermediate,2025-05-29T04:09:05
U000268,ai_focused,AI / Machine Learning,Telugu,Bengali,Beginner,2025-02-11T02:49:41
U000269,mixed_interest,Mixed Technology Interests,English,Telugu,Beginner,2025-01-19T20:28:28
U000270,entertainment_heavy,Entertainment,English,Malayalam,Beginner,2025-03-02T08:13:56
U000271,entertainment_heavy,Entertainment,Telugu,Malayalam,Advanced,2025-01-23T03:04:22
U000272,backend_focused,Backend Engineering,Malayalam,Tamil,Beginner,2025-05-23T07:41:59
U000273,backend_focused,Backend Engineering,Kannada,English,Beginner,2025-02-20T18:59:55
U000274,ai_focused,AI / Machine Learning,Telugu,Bengali,Beginner,2025-05-20T05:57:42
U000275,ai_focused,AI / Machine Learning,English,Tamil,Beginner,2025-03-14T18:26:32
U000276,ai_focused,AI / Machine Learning,English,Telugu,Intermediate,2025-02-04T06:41:52
U000277,ai_focused,AI / Machine Learning,Hindi,Tamil,Beginner,2025-05-21T04:40:57
U000278,cybersecurity_focused,Cybersecurity,Hindi,Kannada,Advanced,2025-05-15T05:31:04
U000279,ai_focused,AI / Machine Learning,Malayalam,English,Advanced,2025-02-13T07:04:29
U000280,hardware_focused,Hardware / Developer Gear,Tamil,Malayalam,Intermediate,2025-02-16T09:30:52
U000281,frontend_focused,Frontend / Web Development,English,Bengali,Intermediate,2025-01-16T23:00:11
U000282,hardware_focused,Hardware / Developer Gear,English,Hindi,Intermediate,2025-01-26T09:14:01
U000283,backend_focused,Backend Engineering,English,Hindi,Beginner,2025-01-02T14:43:50
U000284,hardware_focused,Hardware / Developer Gear,English,Hindi,Beginner,2025-03-03T17:28:28
U000285,backend_focused,Backend Engineering,English,Kannada,Intermediate,2025-04-02T04:45:44
U000286,frontend_focused,Frontend / Web Development,English,Tamil,Intermediate,2025-02-08T23:32:16
U000287,entertainment_heavy,Entertainment,English,Bengali,Beginner,2025-05-21T18:07:59
U000288,cybersecurity_focused,Cybersecurity,Tamil,Bengali,Beginner,2025-04-27T05:44:30
U000289,frontend_focused,Frontend / Web Development,English,Tamil,Intermediate,2025-01-18T12:42:51
U000290,hardware_focused,Hardware / Developer Gear,English,Kannada,Advanced,2025-04-01T15:06:24
U000291,mixed_interest,Mixed Technology Interests,Telugu,Kannada,Beginner,2025-04-26T20:59:38
U000292,ai_focused,AI / Machine Learning,Telugu,Hindi,Beginner,2025-03-29T07:42:01
