session_id,user_id,session_theme,start_time,end_time,reel_count,total_watch_seconds
SESS000048,U000008,cybersecurity,2025-04-20T05:21:40,2025-04-20T05:26:04,8,164.7
SESS000049,U000008,backend_cloud,2025-08-01T01:01:27,2025-08-01T01:03:02,4,59.8
SESS000050,U000008,backend_cloud,2025-09-05T08:36:18,2025-09-05T08:41:59,11,216.6
SESS000051,U000008,dsa_java_interview,2025-03-22T22:10:08,2025-03-22T22:12:48,5,98.2
SESS000052,U000008,cybersecurity,2025-07-26T05:03:10,2025-07-26T05:05:21,6,57.7
SESS000053,U000008,cybersecurity,2025-05-07T13:29:37,2025-05-07T13:32:31,7,114.1
SESS000054,U000009,ai_python,2025-07-20T03:11:19,2025-07-20T03:16:50,11,215.0
SESS000055,U000009,backend_cloud,2025-05-23T01:30:10,2025-05-23T01:31:41,3,61.8
SESS000056,U000009,cybersecurity,2025-05-26T00:59:43,2025-05-26T01:00:43,3,30.1
SESS000057,U000009,entertainment_heavy,2025-01-09T16:15:44,2025-01-09T16:21:28,10,239.2
SESS000058,U000010,backend_cloud,2025-06-03T08:05:16,2025-06-03T08:09:31,11,149.1
SESS000059,U000010,ai_python,2025-08-29T15:00:53,2025-08-29T15:03:13,3,101.2
SESS000060,U000010,ai_python,2025-10-18T01:07:01,2025-10-18T01:14:23,11,287.3
SESS000061,U000010,backend_cloud,2025-04-28T19:51:14,2025-04-28T19:56:12,12,173.9
SESS000062,U000010,mixed_scroll,2025-09-23T00:07:07,2025-09-23T00:12:50,11,249.2
SESS000063,U000011,entertainment_heavy,2025-03-28T20:53:00,2025-03-28T20:56:41,6,147.1
SESS000064,U000011,dsa_java_interview,2025-06-29T22:14:22,2025-06-29T22:19:21,10,192.0
SESS000065,U000011,ai_python,2025-11-13T14:32:36,2025-11-13T14:34:15,3,67.4
SESS000066,U000011,mixed_scroll,2025-08-10T12:37:25,2025-08-10T12:42:44,9,202.9
SESS000067,U000011,gaming_hardware,2025-04-22T16:20:02,2025-04-22T16:21:43,3,64.8
SESS000068,U000011,mixed_scroll,2025-11-07T11:03:01,2025-11-07T11:04:19,3,47.0
SESS000069,U000011,cybersecurity,2025-10-24T01:39:49,2025-10-24T01:45:43,11,241.3
SESS000070,U000011,ai_python,2025-08-15T08:45:29,2025-08-15T08:50:57,9,218.7
SESS000071,U000012,dsa_java_interview,2025-03-24T19:46:43,2025-03-24T19:54:09,12,337.0
SESS000072,U000012,mixed_scroll,2025-10-03T10:10:54,2025-10-03T10:17:16,10,264.4
SESS000073,U000012,gaming_hardware,2025-10-06T11:54:52,2025-10-06T11:57:06,4,98.9
SESS000074,U000012,cybersecurity,2025-08-05T01:16:16,2025-08-05T01:23:02,10,319.9
SESS000075,U000012,dsa_java_interview,2025-10-17T06:53:33,2025-10-17T07:00:01,10,287.2
SESS000076,U000012,dsa_java_interview,2025-06-20T06:59:21,2025-06-20T07:04:08,9,199.1
SESS000077,U000013,dsa_java_interview,2025-08-04T21:48:12,2025-08-04T21:51:32,7,135.6
SESS000078,U000013,gaming_hardware,2025-06-08T17:44:33,2025-06-08T17:49:44,11,208.5
SESS000079,U000013,dsa_java_interview,2025-09-06T07:59:57,2025-09-06T08:03:47,6,156.6
SESS000080,U000013,cybersecurity,2025-07-03T16:06:06,2025-07-03T16:09:26,6,143.1
SESS000081,U000013,mixed_scroll,2025-04-15T01:54:01,2025-04-15T02:00:41,11,263.0
SESS000082,U000013,mixed_scroll,2025-05-16T05:03:02,2025-05-16T05:08:15,9,207.3
SESS000083,U000013,mixed_scroll,2025-03-30T21:59:11,2025-03-30T22:02:03,7,106.3
SESS000084,U000013,cybersecurity,2025-01-01T12:16:09,2025-01-01T12:18:10,5,76.6
SESS000085,U000014,backend_cloud,2025-04-06T01:53:00,2025-04-06T01:56:33,7,124.7
SESS000086,U000014,entertainment_heavy,2025-04-10T13:30:07,2025-04-10T13:36:25,12,254.3
SESS000087,U000014,mixed_scroll,2025-03-05T20:19:16,2025-03-05T20:20:32,3,42.0
SESS000088,U000014,dsa_java_interview,2025-08-05T18:45:22,2025-08-05T18:53:11,12,303.4
SESS000089,U000014,mixed_scroll,2025-03-19T08:56:41,2025-03-19T09:00:06,8,139.9
SESS000090,U000015,backend_cloud,2025-03-29T11:23:05,2025-03-29T11:26:35,8,143.3
SESS000091,U000015,dsa_java_interview,2025-02-16T13:49:48,2025-02-16T13:51:27,3,75.0
SESS000092,U000015,dsa_java_interview,2025-01-09T01:07:04,2025-01-09T01:12:12,8,229.8
SESS000093,U000015,entertainment_heavy,2025-05-22T19:04:04,2025-05-22T19:06:41,5,108.4
SESS000094,U000015,backend_cloud,2025-04-10T20:53:17,2025-04-10T20:56:06,5,128.5
SESS000095,U000015,ai_python,2025-03-08T13:05:22,2025-03-08T13:10:13,8,197.3
SESS000096,U000015,entertainment_heavy,2025-07-06T17:45:30,2025-07-06T17:47:41,5,72.7
SESS000097,U000015,entertainment_heavy,2025-07-20T22:46:27,2025-07-20T22:47:53,4,53.3
SESS000098,U000016,entertainment_heavy,2025-11-17T03:48:26,2025-11-17T03:53:30,7,220.1
SESS000099,U000016,cybersecurity,2025-07-06T22:46:16,2025-07-06T22:53:15,12,300.1
SESS000100,U000016,ai_python,2025-02-11T16:59:36,2025-02-11T17:04:17,9,202.9
SESS000101,U000016,backend_cloud,2025-06-05T14:13:09,2025-06-05T14:14:30,3,56.6
SESS000102,U000017,mixed_scroll,2025-08-05T01:27:51,2025-08-05T01:30:00,5,67.1
SESS000103,U000017,ai_python,2025-03-06T22:08:50,2025-03-06T22:12:03,7,127.9
SESS000104,U000017,backend_cloud,2025-10-07T06:27:18,2025-10-07T06:29:13,5,63.7
SESS000105,U000017,dsa_java_interview,2025-07-22T11:14:49,2025-07-22T11:19:48,12,176.0
SESS000106,U000017,backend_cloud,2025-05-22T18:48:26,2025-05-22T18:55:27,12,312.6
SESS000107,U000017,mixed_scroll,2025-04-02T00:39:39,2025-04-02T00:44:51,12,191.7
SESS000108,U000017,gaming_hardware,2025-04-12T01:48:49,2025-04-12T01:54:11,11,197.7
SESS000109,U000018,ai_python,2025-10-11T18:19:51,2025-10-11T18:22:19,6,97.7
SESS000110,U000018,mixed_scroll,2025-08-17T06:33:17,2025-08-17T06:35:45,5,116.4
SESS000111,U000018,entertainment_heavy,2025-03-05T21:09:53,2025-03-05T21:12:00,5,70.9
SESS000112,U000019,gaming_hardware,2025-03-17T15:35:43,2025-03-17T15:39:41,6,160.1
SESS000113,U000019,entertainment_heavy,2025-06-28T23:22:49,2025-06-28T23:25:11,6,104.2
SESS000114,U000019,entertainment_heavy,2025-11-18T13:50:10,2025-11-18T13:54:02,8,166.0
SESS000115,U000019,mixed_scroll,2025-10-27T10:33:01,2025-10-27T10:36:11,7,126.9
SESS000116,U000019,backend_cloud,2025-10-30T09:15:19,2025-10-30T09:19:37,11,160.8
SESS000117,U000019,ai_python,2025-06-17T14:50:50,2025-06-17T14:56:13,11,190.9
SESS000118,U000019,entertainment_heavy,2025-07-23T14:42:27,2025-07-23T14:47:43,11,221.2
SESS000119,U000019,dsa_java_interview,2025-05-26T00:23:32,2025-05-26T00:25:04,5,48.7
SESS000120,U000020,dsa_java_interview,2025-07-19T02:29:54,2025-07-19T02:32:42,5,137.3
SESS000121,U000020,dsa_java_interview,2025-06-25T20:30:50,2025-06-25T20:35:45,10,190.6
SESS000122,U000020,mixed_scroll,2025-08-21T17:30:58,2025-08-21T17:36:32,11,224.9
SESS000123,U000020,dsa_java_interview,2025-07-23T06:30:48,2025-07-23T06:32:30,4,49.4
SESS000124,U000020,backend_cloud,2025-07-20T15:17:53,2025-07-20T15:24:03,10,239.9
SESS000125,U000020,ai_python,2025-08-04T20:09:16,2025-08-04T20:12:32,8,97.7
SESS000126,U000021,gaming_hardware,2025-07-26T20:52:30,2025-07-26T20:55:20,5,104.7
SESS000127,U000021,ai_python,2025-09-03T05:47:11,2025-09-03T05:49:25,4,92.1
SESS000128,U000021,mixed_scroll,2025-07-01T10:06:13,2025-07-01T10:08:51,5,111.8
SESS000129,U000022,cybersecurity,2025-02-08T17:56:48,2025-02-08T18:00:18,6,158.3
SESS000130,U000022,ai_python,2025-04-21T17:26:05,2025-04-21T17:28:43,4,97.5
SESS000131,U000022,entertainment_heavy,2025-11-16T13:04:21,2025-11-16T13:08:21,7,153.6
SESS000132,U000022,cybersecurity,2025-07-01T10:32:00,2025-07-01T10:37:47,12,231.2
SESS000133,U000022,backend_cloud,2025-04-05T13:55:40,2025-04-05T13:57:51,5,74.8
SESS000134,U000023,gaming_hardware,2025-08-16T16:33:50,2025-08-16T16:37:45,9,125.9
SESS000135,U000023,cybersecurity,2025-04-17T12:55:01,2025-04-17T12:56:53,3,89.4
SESS000136,U000023,dsa_java_interview,2025-01-23T01:31:08,2025-01-23T01:34:18,7,149.2
SESS000137,U000023,cybersecurity,2025-02-05T01:11:21,2025-02-05T01:15:06,5,170.1
SESS000138,U000024,mixed_scroll,2025-08-20T21:06:54,2025-08-20T21:08:04,3,47.1
SESS000139,U000024,entertainment_heavy,2025-02-03T18:39:49,2025-02-03T18:42:57,6,119.0
SESS000140,U000024,gaming_hardware,2025-01-24T14:02:57,2025-01-24T14:05:01,4,79.9
SESS000141,U000024,entertainment_heavy,2025-04-18T09:41:38,2025-04-18T09:44:04,5,99.0
SESS000142,U000024,cybersecurity,2025-03-13T08:10:53,2025-03-13T08:12:35,3,65.9
SESS000143,U000024,cybersecurity,2025-04-19T17:36:16,2025-04-19T17:41:27,12,191.4
SESS000144,U000025,dsa_java_interview,2025-02-04T22:49:47,2025-02-04T22:52:06,3,114.1
SESS000145,U000025,gaming_hardware,2025-02-21T22:53:49,2025-02-21T22:58:57,10,177.9
SESS000146,U000025,entertainment_heavy,2025-02-26T12:53:32,2025-02-26T13:00:03,11,269.5
SESS000147,U000025,gaming_hardware,2025-11-28T14:05:55,2025-11-28T14:11:45,10,263.0
SESS000148,U000026,ai_python,2025-06-12T14:39:14,2025-06-12T14:44:36,8,231.0
SESS000149,U000026,gaming_hardware,2025-06-14T15:00:50,2025-06-14T15:04:47,9,138.9
SESS000150,U000026,ai_python,2025-01-29T01:52:02,2025-01-29T01:53:16,4,26.8
SESS000151,U000026,cybersecurity,2025-06-22T05:50:34,2025-06-22T05:55:04,10,178.8
SESS000152,U000026,entertainment_heavy,2025-05-24T03:14:52,2025-05-24T03:16:13,4,42.6
SESS000153,U000026,dsa_java_interview,2025-06-14T22:54:46,2025-06-14T22:58:39,7,169.5
SESS000154,U000027,ai_python,2025-09-30T13:56:51,2025-09-30T14:01:39,9,182.6
SESS000155,U000027,gaming_hardware,2025-01-09T10:26:32,2025-01-09T10:32:35,9,285.2
SESS000156,U000027,backend_cloud,2025-08-18T22:41:43,2025-08-18T22:48:42,9,335.4
SESS000157,U000027,cybersecurity,2025-10-29T17:49:58,2025-10-29T17:55:06,9,217.7
SESS000158,U000027,entertainment_heavy,2025-02-10T08:56:22,2025-02-10T09:02:36,10,294.5
SESS000159,U000027,backend_cloud,2025-05-17T03:01:38,2025-05-17T03:06:15,8,208.9
SESS000160,U000027,gaming_hardware,2025-03-06T02:07:37,2025-03-06T02:10:08,4,112.9
SESS000161,U000028,mixed_scroll,2025-01-26T21:53:43,2025-01-26T21:57:36,7,147.0
SESS000162,U000028,cybersecurity,2025-06-24T20:57:45,2025-06-24T20:59:42,4,78.4
SESS000163,U000028,mixed_scroll,2025-07-19T14:03:21,2025-07-19T14:07:08,9,152.9
SESS000164,U000028,entertainment_heavy,2025-10-04T03:58:51,2025-10-04T04:04:39,11,203.0
SESS000165,U000028,dsa_java_interview,2025-08-23T05:38:47,2025-08-23T05:45:27,11,261.5
SESS000166,U000028,entertainment_heavy,2025-06-07T22:34:26,2025-06-07T22:36:09,5,40.7
SESS000167,U000029,mixed_scroll,2025-10-15T21:07:20,2025-10-15T21:13:56,11,298.9
SESS000168,U000029,gaming_hardware,2025-06-06T22:39:00,2025-06-06T22:44:29,10,228.4
SESS000169,U000029,dsa_java_interview,2025-02-03T06:46:46,2025-02-03T06:52:46,10,254.4
SESS000170,U000029,cybersecurity,2025-09-17T23:28:16,2025-09-17T23:34:01,9,246.1
SESS000171,U000030,ai_python,2025-02-13T09:14:58,2025-02-13T09:19:21,7,179.9
SESS000172,U000030,gaming_hardware,2025-05-24T13:37:35,2025-05-24T13:40:30,5,127.6
SESS000173,U000030,mixed_scroll,2025-04-10T03:31:55,2025-04-10T03:36:58,9,195.9
SESS000174,U000030,dsa_java_interview,2025-02-18T11:55:06,2025-02-18T12:00:48,12,224.9
SESS000175,U000030,cybersecurity,2025-05-30T12:50:53,2025-05-30T12:52:50,5,64.5
SESS000176,U000031,dsa_java_interview,2025-02-28T17:49:54,2025-02-28T17:53:55,7,158.2
SESS000177,U000031,cybersecurity,2025-08-20T03:50:35,2025-08-20T03:54:05,7,140.1
SESS000178,U000031,dsa_java_interview,2025-10-29T14:54:06,2025-10-29T15:01:06,11,284.7
SESS000179,U000031,cybersecurity,2025-04-26T04:59:35,2025-04-26T05:06:50,12,274.3
SESS000180,U000031,mixed_scroll,2025-10-20T22:59:04,2025-10-20T23:06:16,12,315.0
SESS000181,U000031,dsa_java_interview,2025-06-29T17:31:41,2025-06-29T17:35:18,6,143.8
SESS000182,U000031,backend_cloud,2025-06-03T01:48:46,2025-06-03T01:54:19,9,240.1
SESS000183,U000031,backend_cloud,2025-03-11T10:58:38,2025-03-11T11:06:20,12,303.8
SESS000184,U000032,entertainment_heavy,2025-06-17T23:34:01,2025-06-17T23:37:18,7,129.8
SESS000185,U000032,ai_python,2025-07-21T19:29:23,2025-07-21T19:34:27,11,201.0
SESS000186,U000032,gaming_hardware,2025-08-19T20:13:53,2025-08-19T20:15:44,3,78.2
SESS000187,U000032,dsa_java_interview,2025-03-31T03:58:12,2025-03-31T04:00:23,5,66.1
SESS000188,U000032,mixed_scroll,2025-02-26T01:48:02,2025-02-26T01:52:43,10,167.8
SESS000189,U000032,dsa_java_interview,2025-11-16T16:01:39,2025-11-16T16:06:21,12,156.9
SESS000190,U000033,entertainment_heavy,2025-09-11T01:27:43,2025-09-11T01:32:25,10,165.2
SESS000191,U000033,cybersecurity,2025-08-06T15:38:30,2025-08-06T15:44:55,10,290.6
SESS000192,U000033,ai_python,2025-06-15T12:29:07,2025-06-15T12:34:58,10,261.2
SESS000193,U000033,entertainment_heavy,2025-08-06T13:24:26,2025-08-06T13:30:31,11,227.9
SESS000194,U000033,cybersecurity,2025-10-10T21:15:23,2025-10-10T21:20:11,8,207.2
SESS000195,U000034,mixed_scroll,2025-07-09T01:20:41,2025-07-09T01:25:30,9,215.6
SESS000196,U000034,cybersecurity,2025-04-17T10:21:30,2025-04-17T10:27:30,11,228.7
SESS000197,U000034,gaming_hardware,2025-11-16T21:00:15,2025-11-16T21:04:44,8,176.3
SESS000198,U000034,cybersecurity,2025-10-10T13:59:04,2025-10-10T14:01:03,3,81.0
SESS000199,U000034,entertainment_heavy,2025-06-20T08:02:32,2025-06-20T08:04:17,3,67.2
SESS000200,U000034,mixed_scroll,2025-09-10T17:15:24,2025-09-10T17:21:37,10,249.4
SESS000201,U000035,entertainment_heavy,2025-11-29T04:36:33,2025-11-29T04:38:55,5,80.5
SESS000202,U000035,mixed_scroll,2025-02-10T16:01:42,2025-02-10T16:07:20,10,231.3
SESS000203,U000035,backend_cloud,2025-10-03T09:11:32,2025-10-03T09:14:09,6,111.6
SESS000204,U000035,ai_python,2025-11-13T13:56:02,2025-11-13T13:57:56,3,82.4
SESS000205,U000036,backend_cloud,2025-11-19T09:39:21,2025-11-19T09:42:15,3,138.2
SESS000206,U000036,gaming_hardware,2025-05-24T01:18:10,2025-05-24T01:21:52,8,123.9
SESS000207,U000036,dsa_java_interview,2025-08-25T05:34:31,2025-08-25T05:39:31,10,197.2
SESS000208,U000036,dsa_java_interview,2025-03-24T13:00:58,2025-03-24T13:06:09,11,185.6
SESS000209,U000036,mixed_scroll,2025-06-24T16:36:46,2025-06-24T16:41:37,11,180.1
SESS000210,U000036,gaming_hardware,2025-01-31T21:04:26,2025-01-31T21:07:02,4,115.5
SESS000211,U000036,ai_python,2025-02-07T09:25:36,2025-02-07T09:27:52,3,94.8
SESS000212,U000036,cybersecurity,2025-05-10T22:22:17,2025-05-10T22:25:18,7,116.9
SESS000213,U000037,backend_cloud,2025-10-27T11:23:06,2025-10-27T11:30:22,12,308.6
SESS000214,U000037,backend_cloud,2025-03-14T19:43:43,2025-03-14T19:49:02,9,226.6
SESS000215,U000037,ai_python,2025-07-05T06:26:06,2025-07-05T06:29:41,7,114.9
SESS000216,U000038,ai_python,2025-01-11T14:46:28,2025-01-11T14:51:55,10,219.0
SESS000217,U000038,ai_python,2025-08-19T13:18:53,2025-08-19T13:22:39,7,145.2
SESS000218,U000038,entertainment_heavy,2025-03-18T03:45:17,2025-03-18T03:51:10,11,257.9
SESS000219,U000039,cybersecurity,2025-07-23T19:53:31,2025-07-23T19:54:53,3,57.2
SESS000220,U000039,entertainment_heavy,2025-02-02T18:08:12,2025-02-02T18:10:42,6,95.7
SESS000221,U000039,entertainment_heavy,2025-08-10T20:37:11,2025-08-10T20:39:44,4,97.6
SESS000222,U000039,ai_python,2025-03-28T03:12:50,2025-03-28T03:18:25,11,222.7
SESS000223,U000039,mixed_scroll,2025-06-26T16:04:33,2025-06-26T16:10:45,12,232.2
SESS000224,U000039,entertainment_heavy,2025-11-10T06:54:31,2025-11-10T06:58:12,7,131.1
SESS000225,U000039,backend_cloud,2025-10-16T03:43:28,2025-10-16T03:45:56,3,115.8
SESS000226,U000040,gaming_hardware,2025-09-09T08:18:36,2025-09-09T08:21:01,5,115.9
SESS000227,U000040,mixed_scroll,2025-07-09T21:07:01,2025-07-09T21:08:29,3,46.3
SESS000228,U000040,dsa_java_interview,2025-11-16T19:07:39,2025-11-16T19:10:57,6,122.1
SESS000229,U000041,dsa_java_interview,2025-10-24T09:31:31,2025-10-24T09:35:28,5,168.1
SESS000230,U000041,backend_cloud,2025-04-06T16:10:01,2025-04-06T16:12:31,4,101.1
SESS000231,U000041,entertainment_heavy,2025-10-31T23:18:23,2025-10-31T23:22:16,6,163.8
SESS000232,U000041,dsa_java_interview,2025-09-15T00:02:33,2025-09-15T00:03:50,4,52.8
SESS000233,U000041,gaming_hardware,2025-09-23T14:17:56,2025-09-23T14:20:50,5,121.4
SESS000234,U000042,mixed_scroll,2025-07-10T19:12:00,2025-07-10T19:18:06,10,209.4
SESS000235,U000042,entertainment_heavy,2025-03-21T17:01:06,2025-03-21T17:04:50,9,151.9
SESS000236,U000042,dsa_java_interview,2025-09-22T17:07:00,2025-09-22T17:08:44,4,68.0
SESS000237,U000042,dsa_java_interview,2025-11-12T11:02:17,2025-11-12T11:05:40,7,127.2
SESS000238,U000042,entertainment_heavy,2025-01-26T01:47:51,2025-01-26T01:51:46,11,118.2
SESS000239,U000042,entertainment_heavy,2025-04-20T13:56:27,2025-04-20T14:00:50,9,143.6
SESS000240,U000042,cybersecurity,2025-01-23T20:19:43,2025-01-23T20:23:36,8,159.1
SESS000241,U000042,dsa_java_interview,2025-11-22T16:41:41,2025-11-22T16:46:18,11,173.1
SESS000242,U000043,gaming_hardware,2025-11-06T13:33:34,2025-11-06T13:39:05,12,216.5
SESS000243,U000043,gaming_hardware,2025-07-09T16:25:15,2025-07-09T16:27:09,4,71.1
SESS000244,U000043,cybersecurity,2025-08-24T01:34:17,2025-08-24T01:38:47,7,180.4
SESS000245,U000043,cybersecurity,2025-07-07T16:46:36,2025-07-07T16:51:12,9,193.1
SESS000246,U000043,dsa_java_interview,2025-04-22T12:38:02,2025-04-22T12:39:40,3,65.3
SESS000247,U000043,dsa_java_interview,2025-02-08T13:41:17,2025-02-08T13:45:01,9,141.3
SESS000248,U000043,cybersecurity,2025-01-16T23:27:03,2025-01-16T23:31:31,9,148.5
SESS000249,U000043,gaming_hardware,2025-10-16T18:42:47,2025-10-16T18:48:31,11,225.6
SESS000250,U000044,entertainment_heavy,2025-08-03T16:05:57,2025-08-03T16:07:58,5,70.3
SESS000251,U000044,ai_python,2025-04-08T11:37:39,2025-04-08T11:42:48,8,214.6
SESS000252,U000044,ai_python,2025-09-07T10:39:54,2025-09-07T10:44:04,9,154.0
SESS000253,U000045,backend_cloud,2025-02-21T07:15:13,2025-02-21T07:18:07,6,104.3
SESS000254,U000045,gaming_hardware,2025-07-15T13:52:06,2025-07-15T13:53:47,3,76.8
SESS000255,U000045,cybersecurity,2025-09-01T15:36:45,2025-09-01T15:40:56,8,168.1
SESS000256,U000045,ai_python,2025-07-10T06:25:09,2025-07-10T06:29:39,10,194.1
SESS000257,U000046,gaming_hardware,2025-03-21T05:35:30,2025-03-21T05:41:08,9,229.4
SESS000258,U000046,gaming_hardware,2025-01-23T08:51:00,2025-01-23T08:54:02,5,135.3
SESS000259,U000046,dsa_java_interview,2025-03-22T14:30:56,2025-03-22T14:35:30,7,187.0
SESS000260,U000046,dsa_java_interview,2025-06-02T01:45:49,2025-06-02T01:49:22,5,167.3
SESS000261,U000046,ai_python,2025-11-18T02:02:27,2025-11-18T02:09:18,10,293.5
SESS000262,U000046,gaming_hardware,2025-06-28T12:50:09,2025-06-28T12:55:40,11,229.7
SESS000263,U000046,mixed_scroll,2025-04-18T14:16:02,2025-04-18T14:20:20,10,180.8
SESS000264,U000047,dsa_java_interview,2025-09-18T11:51:15,2025-09-18T11:53:30,5,94.0
SESS000265,U000047,entertainment_heavy,2025-07-25T10:10:22,2025-07-25T10:15:04,9,176.0
SESS000266,U000047,mixed_scroll,2025-05-23T00:46:43,2025-05-23T00:49:42,6,103.6
SESS000267,U000047,gaming_hardware,2025-04-24T20:28:09,2025-04-24T20:29:53,3,74.0
SESS000268,U000047,cybersecurity,2025-10-18T03:43:51,2025-10-18T03:49:53,12,229.6
SESS000269,U000047,cybersecurity,2025-05-10T07:36:57,2025-05-10T07:39:12,5,101.2
SESS000270,U000047,gaming_hardware,2025-05-16T13:22:24,2025-05-16T13:27:54,10,206.7
SESS000271,U000048,dsa_java_interview,2025-01-25T02:53:45,2025-01-25T02:58:19,9,163.5
SESS000272,U000048,ai_python,2025-03-24T01:56:39,2025-03-24T02:02:02,11,216.0
SESS000273,U000048,gaming_hardware,2025-04-16T22:06:51,2025-04-16T22:10:45,7,149.9
SESS000274,U000048,dsa_java_interview,2025-09-27T17:02:04,2025-09-27T17:07:02,11,193.1
SESS000275,U000048,gaming_hardware,2025-01-12T06:42:46,2025-01-12T06:47:09,7,198.6
SESS000276,U000048,gaming_hardware,2025-05-14T11:06:07,2025-05-14T11:11:10,12,197.6
SESS000277,U000048,backend_cloud,2025-07-07T07:19:51,2025-07-07T07:24:46,10,173.9
SESS000278,U000049,mixed_scroll,2025-04-15T04:46:25,2025-04-15T04:50:21,7,153.7
SESS000279,U000049,backend_cloud,2025-02-14T13:44:43,2025-02-14T13:46:24,5,57.4
SESS000280,U000049,mixed_scroll,2025-05-20T14:15:12,2025-05-20T14:20:11,9,184.6
