reel_id,title,caption,transcript,ocr_text,visual_description,content_language,language_confidence,programming_languages,technologies,frameworks,topics,category,intent,difficulty,duration_seconds,creator_id,created_at,quality_score,hype_score,learning_value,career_value,practical_value,entertainment_value
CAND000011,Comedy moment that broke the internet,Comedy content - just for laughs,"If you're preparing for placements, don't just memorize Data Structures answers - understand how it actually works under the hood.",,Movie clip montage with trending audio,English,0.8,,,,Comedy,entertainment,Humor,Intermediate,73,CR000037,2025-09-21T13:57:51,0.136,0.457,0.167,0.067,0.242,0.845
CAND000012,C# developers be like,POV: debugging C# at 2am,When your C# code works on the first try but you have no idea why. Every developer knows this feeling.,// C# example,Terminal window running C# commands,English,0.82,C#,,,Software Engineering,programming_meme,Entertainment,Intermediate,14,CR000099,2025-11-12T11:30:21,0.259,0.401,0.173,0.036,0.007,0.921
CAND000013,Programming developers be like,POV: debugging Programming at 2am,When your DSA code works on the first try but you have no idea why. Every developer knows this feeling.,,Cybersecurity terminal showing network commands,English,0.88,,,,Software Engineering,programming_meme,Entertainment,Intermediate,34,CR000006,2025-10-04T00:50:24,0.293,0.219,0.239,0.135,0.102,0.867
CAND000014,Hardware Launches update (2025),Latest in Hardware Launches,"Here's how PHP behaves at scale, and the trade-offs engineers make in production systems.",// PHP example,Terminal window running PHP commands,English,0.92,PHP,Linux|AWS,,Technology News,tech_news,News,Advanced,90,CR000044,2025-03-04T21:45:26,0.54,0.09,0.261,0.044,0.359,0.283
CAND000015,C explained simply,Learn c explained simply in under a minute,"Let's break down the basics of C step by step, starting from what it actually is.",,Terminal window running C commands,English,0.93,C,,Angular,Deep Learning,tech_educational,Project Help,Beginner,19,CR000055,2025-03-25T21:54:00,0.415,0.123,0.312,0.561,0.36,0.296
CAND000016,JavaScript explained simply,Learn javascript explained simply in under a minute,"Here's how JavaScript behaves at scale, and the trade-offs engineers make in production systems.",,Split-screen code and output comparison,English,0.91,JavaScript,Jenkins,Spring Boot,Cybersecurity,tech_educational,Interview Preparation,Advanced,8,CR000084,2025-11-30T22:12:46,0.782,0.178,0.764,0.469,0.577,0.341
CAND000017,Cloud News update (2025),Latest in Cloud News,"Let's break down the basics of R step by step, starting from what it actually is.",def train_model(data): ...,Split-screen code and output comparison,Bengali,0.81,R|Python,AWS|Nginx,,Technology News,tech_news,News,Beginner,90,CR000014,2025-05-24T22:25:27,0.64,0.043,0.107,0.216,0.446,0.162
CAND000018,Go explained simply,Learn go explained simply in under a minute,"Let's break down the basics of Go step by step, starting from what it actually is.","func main() { fmt.Println(""hello"") }",Whiteboard diagram explaining system architecture,Telugu,0.78,Go,,,Hardware,tech_educational,Curiosity,Beginner,17,CR000035,2025-02-09T06:05:44,0.807,0.187,0.92,0.471,0.681,0.249
CAND000019,C# explained simply,Learn c# explained simply in under a minute,"If you're preparing for placements, don't just memorize C# answers - understand how it actually works under the hood.",// C# example,Laptop screen showing C# code in an IDE,English,0.86,C#,Kafka|Linux,Node.js,Career,tech_educational,Curiosity,Intermediate,16,CR000047,2025-08-09T21:42:35,0.859,0.19,0.919,0.54,0.599,0.185
CAND000020,Comedy moment that broke the internet,Comedy content - just for laughs,"Let's break down the basics of Ruby step by step, starting from what it actually is.",// Ruby example,Funny reaction clip with captions,English,0.82,Ruby,,,Comedy,entertainment,Humor,Beginner,81,CR000047,2025-04-14T00:42:08,0.592,0.655,0.282,0.211,0.566,1.0
CAND000021,Python explained simply,Learn python explained simply in under a minute,"Here's how Python behaves at scale, and the trade-offs engineers make in production systems.",def train_model(data): ...,Terminal window running Python commands,English,0.79,Python|Kotlin,,Node.js,DevOps,tech_educational,Curiosity,Advanced,8,CR000091,2025-03-08T00:35:25,0.469,0.352,0.309,0.397,0.215,0.346
CAND000022,Kotlin explained simply,Learn kotlin explained simply in under a minute,"Ee video lo manam Kotlin gurinchi chuddam. First, kotlin basics, then a quick example with real code.",,Laptop screen showing Kotlin code in an IDE,Telugu-English,0.88,Kotlin,MongoDB|Nginx,,Software Engineering,tech_educational,Interview Preparation,Intermediate,66,CR000067,2025-06-03T05:59:24,0.885,0.375,0.931,0.623,0.631,0.097
CAND000023,Programming Language Updates update (2025),Latest in Programming Language Updates,"Ee video alli navu Frontend bagge nodona. First, frontend basics, then a quick example with real code.",,Neural network diagram with labeled layers,Kannada-English,0.95,,PostgreSQL|GraphQL,,Technology News,tech_news,News,Intermediate,52,CR000093,2025-04-05T15:41:22,0.504,0.178,0.208,0.059,0.444,0.139
CAND000024,C developers be like,POV: debugging C at 2am,When your C code works on the first try but you have no idea why. Every developer knows this feeling.,// C example,Split-screen code and output comparison,Tamil-English,0.77,C,,,Software Engineering,programming_meme,Entertainment,Intermediate,74,CR000021,2025-06-05T10:18:03,0.654,0.605,0.059,0.166,0.509,0.768
CAND000025,HLD explained simply,Learn hld explained simply in under a minute,"If you're preparing for placements, don't just memorize Load Balancing answers - understand how it actually works under the hood.",,Neural network diagram with labeled layers,English,0.86,,,,Web Development,tech_educational,Curiosity,Intermediate,14,CR000055,2025-07-16T14:31:17,0.359,0.271,0.413,0.581,0.315,0.34
CAND000026,Programming Language Updates update (2026),Latest in Programming Language Updates,"If you're preparing for placements, don't just memorize Python answers - understand how it actually works under the hood.",,Laptop screen showing Python code in an IDE,English,0.78,Python|C,Git|MongoDB,,Technology News,tech_news,News,Intermediate,54,CR000097,2025-06-18T23:48:50,0.75,0.277,0.067,0.14,0.485,0.158
CAND000027,You NEED to learn this or you'll be jobless by 2026,You NEED to learn this or you'll be jobless by 2026,"This ONE skill will make you ₹50 LPA, guaranteed!",,Cybersecurity terminal showing network commands,English,0.92,,,,Career,hype,Promotion,Intermediate,90,CR000059,2025-03-16T17:05:52,0.147,0.907,0.313,0.142,0.06,0.135
CAND000028,Cloud News update (2025),Latest in Cloud News,"Ee video lo manam Go gurinchi chuddam. First, go basics, then a quick example with real code.",,Split-screen code and output comparison,Telugu-English,0.89,Go,Docker|Kafka,,Technology News,tech_news,News,Advanced,58,CR000050,2025-04-18T07:46:48,0.146,0.196,0.04,0.051,0.186,0.155
CAND000029,Swift explained simply,Learn swift explained simply in under a minute,"Ee video lo manam Swift gurinchi chuddam. First, swift basics, then a quick example with real code.",,Laptop screen showing Swift code in an IDE,Telugu-English,0.96,Swift,,Flask,AI/ML,tech_educational,Interview Preparation,Beginner,32,CR000099,2025-07-15T20:27:00,0.668,0.311,0.763,0.493,0.417,0.16
CAND000030,AI News update (2026),Latest in AI News,"Ee video alli navu TypeScript bagge nodona. First, typescript basics, then a quick example with real code.",// C example,Laptop screen showing TypeScript code in an IDE,Kannada-English,0.86,TypeScript|C,Redis|PostgreSQL,,Technology News,tech_news,News,Intermediate,28,CR000062,2025-02-14T02:12:17,0.565,0.395,0.189,0.16,0.397,0.098
CAND000031,Designing a Scalable Backend API: From Code to Cloud,Learn designing a scalable backend api: from code to cloud in under a minute,"If you're preparing for placements, don't just memorize C answers - understand how it actually works under the hood.",// C example,Split-screen code and output comparison,Tamil,0.83,C|Dart,Nginx,Django,AI/ML,tech_educational,Curiosity,Intermediate,52,CR000020,2025-11-13T23:05:46,0.622,0.12,0.794,0.37,0.413,0.337
CAND000032,Explaining Consistent Hashing,Learn explaining consistent hashing in under a minute,"Let's break down the basics of TypeScript step by step, starting from what it actually is.",,Terminal window running TypeScript commands,Bengali,0.96,TypeScript,,,Blockchain,tech_educational,Learning,Beginner,59,CR000051,2025-05-17T21:10:00,0.954,0.101,0.953,0.48,0.693,0.394
CAND000033,10 AI tools that will GUARANTEE you a job in 2027!!!,10 AI tools that will GUARANTEE you a job in 2027!!!,Become an AI Engineer in just 7 days - no experience needed!,,Neural network diagram with labeled layers,English,0.82,,,,AI/ML,hype,Promotion,Intermediate,33,CR000045,2025-05-07T00:51:44,0.177,0.872,0.189,0.198,0.213,0.427
CAND000034,Java developers be like,POV: debugging Java at 2am,When your Java code works on the first try but you have no idea why. Every developer knows this feeling.,public static void main(String[] args),Split-screen code and output comparison,English,0.88,Java,,,Software Engineering,programming_meme,Entertainment,Beginner,80,CR000038,2025-10-05T11:40:34,0.322,0.404,0.154,0.371,0.233,0.878
CAND000035,Ruby explained simply,Learn ruby explained simply in under a minute,"If you're preparing for placements, don't just memorize Ruby answers - understand how it actually works under the hood.",// Ruby example,Whiteboard diagram explaining system architecture,English,0.81,Ruby,Docker|Linux,Next.js,Frontend,tech_educational,Curiosity,Intermediate,10,CR000039,2025-11-29T16:46:03,0.684,0.131,0.708,0.524,0.548,0.274
CAND000036,Career Roadmaps,Career Roadmaps - what nobody tells you,"Let's break down the basics of Distributed Systems step by step, starting from what it actually is.",,Cybersecurity terminal showing network commands,English,0.87,,,,Career,career,Motivation,Beginner,24,CR000021,2025-09-22T02:23:27,0.639,0.11,0.283,0.771,0.56,0.156
CAND000037,PHP developers be like,POV: debugging PHP at 2am,When your PHP code works on the first try but you have no idea why. Every developer knows this feeling.,,Terminal window running PHP commands,Kannada-English,0.98,PHP,,,Software Engineering,programming_meme,Entertainment,Beginner,66,CR000062,2025-09-30T15:35:21,0.93,0.5,0.231,0.001,0.812,0.872
CAND000038,Movies moment that broke the internet,Movies content - just for laughs,"Indha video la naam TypeScript pathi parkalam. First, typescript basics, then a quick example with real code.",// TypeScript example,Funny reaction clip with captions,Tamil-English,0.84,TypeScript,,,Movies,entertainment,Humor,Beginner,58,CR000002,2025-07-11T03:47:22,0.6,0.507,0.15,0.09,0.455,0.873
CAND000039,Cricket moment that broke the internet,Cricket content - just for laughs,"Let's break down the basics of OOP step by step, starting from what it actually is.",,Stadium crowd celebrating a goal/wicket,English,0.8,,,,Cricket,entertainment,Humor,Beginner,35,CR000072,2025-09-03T17:13:38,0.082,0.511,0.228,0.206,0.158,0.765
CAND000040,Become an AI Engineer in just 7 days - no experience needed!,Become an AI Engineer in just 7 days - no experience needed!,10 AI tools that will GUARANTEE you a job in 2026!!!,,Neural network diagram with labeled layers,English,0.87,,,,AI/ML,hype,Motivation,Intermediate,16,CR000087,2025-07-30T07:14:12,0.319,0.84,0.156,0.074,0.109,0.374
CAND000041,Football moment that broke the internet,Football content - just for laughs,"Indha video la naam Hardware pathi parkalam. First, hardware basics, then a quick example with real code.",,Dance/lipsync trend clip,Tamil-English,0.94,,,,Football,entertainment,Entertainment,Intermediate,37,CR000031,2025-08-25T10:57:11,0.305,0.172,0.223,0.233,0.298,0.868
CAND000042,Java explained simply,Learn java explained simply in under a minute,"Let's break down the basics of Java step by step, starting from what it actually is.",public static void main(String[] args),Terminal window running Java commands,English,0.89,Java,,FastAPI,Cybersecurity,tech_educational,Curiosity,Beginner,83,CR000053,2025-05-11T11:21:10,0.764,0.066,0.806,0.486,0.615,0.253
CAND000043,Why Rust's Ownership Model Prevents Memory Bugs,Learn why rust's ownership model prevents memory bugs in under a minute,"If you're preparing for placements, don't just memorize TypeScript answers - understand how it actually works under the hood.",// TypeScript example,Split-screen code and output comparison,English,0.88,TypeScript,Git,,Frontend,tech_educational,Interview Preparation,Intermediate,77,CR000040,2025-06-26T02:07:03,0.75,0.168,0.652,0.375,0.585,0.29
CAND000044,TypeScript developers be like,POV: debugging TypeScript at 2am,When your TypeScript code works on the first try but you have no idea why. Every developer knows this feeling.,// TypeScript example,Laptop screen showing TypeScript code in an IDE,Bengali,0.93,TypeScript,,,Software Engineering,programming_meme,Entertainment,Beginner,19,CR000096,2025-05-07T20:29:11,0.456,0.564,0.244,0.158,0.41,0.792
CAND000045,Coding Interviews,Coding Interviews - what nobody tells you,"Aaj hum dekhenge ki Concurrency kaise kaam karta hai. First, concurrency basics, then a quick example with real code.",,Neural network diagram with labeled layers,Hindi-English,0.96,,,,Career,career,Motivation,Advanced,56,CR000013,2025-09-30T22:01:48,0.781,0.306,0.158,0.673,0.543,0.253
CAND000046,Movies moment that broke the internet,Movies content - just for laughs,"Ee video alli navu DSA bagge nodona. First, dsa basics, then a quick example with real code.",,Stadium crowd celebrating a goal/wicket,Kannada-English,0.96,,,,Movies,entertainment,Entertainment,Beginner,74,CR000008,2025-11-19T09:04:41,0.641,0.451,0.174,0.211,0.416,1.0
CAND000047,Celebrity Fiction moment that broke the internet,Celebrity Fiction content - just for laughs,"Let's break down the basics of Hardware step by step, starting from what it actually is.",,Funny reaction clip with captions,English,0.84,,,,Celebrity Fiction,entertainment,Humor,Beginner,85,CR000014,2025-10-22T21:09:47,0.5,0.305,0.129,0.052,0.541,0.833
CAND000048,Distributed Systems explained simply,Learn distributed systems explained simply in under a minute,"Let's break down the basics of Concurrency step by step, starting from what it actually is.",,Gaming setup with GPU comparison on screen,English,0.91,,,Svelte,Deep Learning,tech_educational,Learning,Beginner,34,CR000083,2025-08-07T15:24:35,0.517,0.373,0.555,0.325,0.506,0.284
CAND000049,Coding Interviews,Coding Interviews - what nobody tells you,"Let's break down the basics of R step by step, starting from what it actually is.",// Dart example,Laptop screen showing R code in an IDE,English,0.88,R|Dart,,,Career,career,Career,Beginner,34,CR000021,2025-10-07T14:01:59,0.528,0.303,0.252,0.842,0.469,0.174
CAND000050,SQL explained simply,Learn sql explained simply in under a minute,"If you're preparing for placements, don't just memorize SQL answers - understand how it actually works under the hood.",SELECT * FROM students;,Whiteboard diagram explaining system architecture,English,0.91,SQL,,,DevOps,tech_educational,Curiosity,Intermediate,36,CR000064,2025-01-09T13:46:36,0.947,0.389,1.0,0.446,0.617,0.15
CAND000051,Celebrity Fiction moment that broke the internet,Celebrity Fiction content - just for laughs,"Indha video la naam Python pathi parkalam. First, python basics, then a quick example with real code.",,Stadium crowd celebrating a goal/wicket,Tamil-English,0.95,Python,,,Celebrity Fiction,entertainment,Entertainment,Advanced,53,CR000083,2025-06-12T19:27:04,0.326,0.422,0.206,0.146,0.322,0.863
CAND000052,HLD explained simply,Learn hld explained simply in under a minute,"Ee video lo manam Algorithms gurinchi chuddam. First, algorithms basics, then a quick example with real code.",,Gaming setup with GPU comparison on screen,Telugu-English,0.87,,Redis|Linux,Django,Data Science,tech_educational,Curiosity,Intermediate,55,CR000007,2025-07-28T19:35:58,0.802,0.29,0.842,0.627,0.615,0.268
CAND000053,C++ explained simply,Learn c++ explained simply in under a minute,"Here's how C++ behaves at scale, and the trade-offs engineers make in production systems.","int main() { std::cout << ""hi""; }",Split-screen code and output comparison,English,0.85,C++,Kubernetes|GCP,,Hardware,tech_educational,Curiosity,Advanced,43,CR000032,2025-04-03T16:26:15,0.449,0.38,0.376,0.434,0.409,0.063
CAND000054,C explained simply,Learn c explained simply in under a minute,"Aaj hum dekhenge ki C kaise kaam karta hai. First, c basics, then a quick example with real code.",,Split-screen code and output comparison,Hindi-English,0.93,C,,,Deep Learning,tech_educational,Project Help,Beginner,55,CR000092,2025-02-10T23:27:37,0.891,0.141,0.812,0.534,0.695,0.185
CAND000055,Scala developers be like,POV: debugging Scala at 2am,When your Scala code works on the first try but you have no idea why. Every developer knows this feeling.,// Scala example,Whiteboard diagram explaining system architecture,English,0.99,Scala,,,Software Engineering,programming_meme,Entertainment,Advanced,63,CR000027,2025-06-02T14:59:05,0.544,0.203,0.118,0.106,0.401,0.791
CAND000056,DSA explained simply,Learn dsa explained simply in under a minute,"Indha video la naam Web Development pathi parkalam. First, web development basics, then a quick example with real code.",,Two laptops side by side for a spec comparison,Tamil-English,0.92,,,React,Mobile Development,tech_educational,Project Help,Intermediate,21,CR000100,2025-05-05T13:35:41,0.654,0.319,0.699,0.477,0.645,0.261
CAND000057,Dart explained simply,Learn dart explained simply in under a minute,"If you're preparing for placements, don't just memorize Dart answers - understand how it actually works under the hood.",// Dart example,Split-screen code and output comparison,English,0.96,Dart,,PyTorch,Frontend,tech_educational,Project Help,Intermediate,24,CR000030,2025-11-14T06:41:25,0.957,0.355,1.0,0.624,0.744,0.293
CAND000058,Hardware Launches update (2025),Latest in Hardware Launches,"Indha video la naam C++ pathi parkalam. First, c++ basics, then a quick example with real code.","int main() { std::cout << ""hi""; }",Laptop screen showing C++ code in an IDE,Tamil-English,0.81,C++,Git|Docker,,Technology News,tech_news,News,Intermediate,36,CR000023,2025-01-15T10:54:27,0.866,0.201,0.151,0.047,0.769,0.34
CAND000059,Understanding Vector Databases,Learn understanding vector databases in under a minute,"Ee video alli navu SQL bagge nodona. First, sql basics, then a quick example with real code.",SELECT * FROM students;,Split-screen code and output comparison,Kannada-English,0.91,SQL,,,Data Science,tech_educational,Interview Preparation,Intermediate,80,CR000050,2025-03-19T21:47:33,0.596,0.259,0.63,0.514,0.539,0.351
CAND000060,Cricket moment that broke the internet,Cricket content - just for laughs,"If you're preparing for placements, don't just memorize Swift answers - understand how it actually works under the hood.",,Movie clip montage with trending audio,English,0.78,Swift,,,Cricket,entertainment,Humor,Intermediate,89,CR000036,2025-09-10T13:55:14,0.543,0.18,0.276,0.162,0.393,0.919
CAND000061,Kotlin explained simply,Learn kotlin explained simply in under a minute,"If you're preparing for placements, don't just memorize Kotlin answers - understand how it actually works under the hood.",// Swift example,Split-screen code and output comparison,English,0.93,Kotlin|JavaScript|Swift,,TensorFlow,Career,tech_educational,Learning,Intermediate,22,CR000057,2025-04-13T09:23:59,0.513,0.096,0.398,0.532,0.334,0.321
CAND000062,Cloud News update (2025),Latest in Cloud News,"Ee video lo manam Go gurinchi chuddam. First, go basics, then a quick example with real code.","func main() { fmt.Println(""hello"") }",Laptop screen showing Go code in an IDE,Telugu-English,0.84,Go,Elasticsearch|Linux,,Technology News,tech_news,News,Advanced,75,CR000020,2025-08-04T20:44:45,0.761,0.193,0.156,0.101,0.552,0.299
CAND000063,Top secret AI trick recruiters don't want you to know,Top secret AI trick recruiters don't want you to know,"This ONE skill will make you ₹50 LPA, guaranteed!",,Person explaining AWS architecture using a whiteboard,Kannada,0.78,,,,AI/ML,hype,Promotion,Beginner,8,CR000099,2025-03-08T16:31:44,0.405,0.712,0.228,0.275,0.229,0.191
CAND000064,Cricket moment that broke the internet,Cricket content - just for laughs,"If you're preparing for placements, don't just memorize C answers - understand how it actually works under the hood.",// C example,Movie clip montage with trending audio,English,0.93,C,,,Cricket,entertainment,Entertainment,Intermediate,84,CR000001,2025-10-11T19:08:06,0.569,0.405,0.294,0.047,0.357,0.904
CAND000065,JavaScript explained simply,Learn javascript explained simply in under a minute,"Let's break down the basics of JavaScript step by step, starting from what it actually is.",const res = await fetch('/api/data');,Whiteboard diagram explaining system architecture,Hindi,0.78,JavaScript,,,DevOps,tech_educational,Project Help,Beginner,42,CR000021,2025-01-04T05:58:47,0.701,0.209,0.667,0.435,0.513,0.179
CAND000066,Gaming moment that broke the internet,Gaming content - just for laughs,"Let's break down the basics of APIs step by step, starting from what it actually is.",,Funny reaction clip with captions,English,0.81,,,,Gaming,entertainment,Humor,Beginner,83,CR000052,2025-09-23T19:11:05,0.598,0.203,0.187,0.286,0.2,0.901
CAND000067,Building a Production ML API,Learn building a production ml api in under a minute,"Let's break down the basics of Rust step by step, starting from what it actually is.",let mut v: Vec<i32> = Vec::new();,Whiteboard diagram explaining system architecture,English,0.91,Rust,,Next.js,AI/ML,tech_educational,Learning,Beginner,79,CR000006,2025-03-14T09:51:07,0.724,0.257,0.738,0.425,0.417,0.145
CAND000068,Memes moment that broke the internet,Memes content - just for laughs,"Here's how Career behaves at scale, and the trade-offs engineers make in production systems.",,Stadium crowd celebrating a goal/wicket,English,0.9,,,,Memes,entertainment,Entertainment,Advanced,28,CR000088,2025-10-13T06:25:26,0.217,0.14,0.229,0.0,0.265,0.777
CAND000069,"This ONE skill will make you ₹50 LPA, guaranteed!","This ONE skill will make you ₹50 LPA, guaranteed!",Learn EVERYTHING about coding in 24 hours!,,Two laptops side by side for a spec comparison,English,0.97,,,,Career,hype,Promotion,Beginner,76,CR000005,2025-05-14T15:56:54,0.323,0.72,0.216,0.028,0.201,0.224
CAND000070,Distributed Systems explained simply,Learn distributed systems explained simply in under a minute,"Ee video alli navu Software Engineering bagge nodona. First, software engineering basics, then a quick example with real code.",,Two laptops side by side for a spec comparison,Kannada-English,0.84,,,Express.js,Cybersecurity,tech_educational,Learning,Intermediate,48,CR000007,2025-10-27T20:53:00,0.455,0.297,0.441,0.436,0.292,0.153
CAND000071,Cybersecurity News update (2026),Latest in Cybersecurity News,"If you're preparing for placements, don't just memorize SQL answers - understand how it actually works under the hood.",,Terminal window running SQL commands,English,0.85,SQL,Git|Azure,,Technology News,tech_news,News,Intermediate,17,CR000030,2025-06-11T21:14:15,0.277,0.34,0.152,0.153,0.339,0.226
CAND000072,Lifestyle moment that broke the internet,Lifestyle content - just for laughs,"If you're preparing for placements, don't just memorize Design Patterns answers - understand how it actually works under the hood.",,Dance/lipsync trend clip,Bengali,0.82,,,,Lifestyle,entertainment,Entertainment,Intermediate,26,CR000079,2025-10-27T23:07:29,0.38,0.4,0.163,0.072,0.468,0.934
CAND000073,Music moment that broke the internet,Music content - just for laughs,"Here's how Backend behaves at scale, and the trade-offs engineers make in production systems.",,Movie clip montage with trending audio,English,0.87,,,,Music,entertainment,Entertainment,Advanced,73,CR000026,2025-08-26T08:04:21,0.537,0.239,0.206,0.195,0.463,0.787
CAND000074,You NEED to learn this or you'll be jobless by 2027,You NEED to learn this or you'll be jobless by 2027,You NEED to learn this or you'll be jobless by 2027,,Cybersecurity terminal showing network commands,Telugu-English,0.76,,,,Career,hype,Motivation,Beginner,29,CR000092,2025-11-14T03:55:58,0.758,0.855,0.124,0.227,0.766,0.355
CAND000075,Celebrity Fiction moment that broke the internet,Celebrity Fiction content - just for laughs,"If you're preparing for placements, don't just memorize Networking answers - understand how it actually works under the hood.",,Funny reaction clip with captions,Kannada,0.86,,,,Celebrity Fiction,entertainment,Humor,Intermediate,8,CR000021,2025-11-24T18:49:03,0.426,0.059,0.205,0.267,0.343,0.854
CAND000076,Programming developers be like,POV: debugging Programming at 2am,When your OOP code works on the first try but you have no idea why. Every developer knows this feeling.,,Gaming setup with GPU comparison on screen,English,0.96,,,,Software Engineering,programming_meme,Entertainment,Beginner,15,CR000067,2025-01-22T02:12:59,0.765,0.093,0.0,0.088,0.469,0.806
CAND000077,Comedy moment that broke the internet,Comedy content - just for laughs,"If you're preparing for placements, don't just memorize C answers - understand how it actually works under the hood.",// C example,Funny reaction clip with captions,English,0.98,C,,,Comedy,entertainment,Entertainment,Intermediate,8,CR000099,2025-03-18T14:58:31,0.412,0.864,0.172,0.0,0.328,0.938
CAND000078,AI News update (2026),Latest in AI News,"Let's break down the basics of Ruby step by step, starting from what it actually is.",// Ruby example,Split-screen code and output comparison,English,0.82,Ruby,Docker|Redis,,Technology News,tech_news,News,Beginner,15,CR000047,2025-11-07T05:12:45,0.833,0.355,0.344,0.231,0.814,0.275
CAND000079,Cricket moment that broke the internet,Cricket content - just for laughs,"If you're preparing for placements, don't just memorize Networking answers - understand how it actually works under the hood.",,Dance/lipsync trend clip,English,0.87,,,,Cricket,entertainment,Humor,Intermediate,14,CR000029,2025-08-10T13:16:36,0.52,0.158,0.152,0.107,0.254,0.793
CAND000080,How Database Indexes Speed Up Queries,Learn how database indexes speed up queries in under a minute,"Aaj hum dekhenge ki Swift kaise kaam karta hai. First, swift basics, then a quick example with real code.",// Swift example,Split-screen code and output comparison,Hindi-English,0.82,Swift,MongoDB,,Web Development,tech_educational,Learning,Advanced,86,CR000043,2025-06-07T08:43:07,0.886,0.287,0.948,0.697,0.722,0.288
CAND000081,Memes moment that broke the internet,Memes content - just for laughs,"Here's how Generative AI behaves at scale, and the trade-offs engineers make in production systems.",,Movie clip montage with trending audio,English,0.89,,,,Memes,entertainment,Entertainment,Advanced,73,CR000024,2025-04-14T15:53:14,0.555,0.217,0.171,0.245,0.593,0.78
CAND000082,Gaming moment that broke the internet,Gaming content - just for laughs,"Ee video lo manam Microservices gurinchi chuddam. First, microservices basics, then a quick example with real code.",,Funny reaction clip with captions,Telugu-English,0.85,,,,Gaming,entertainment,Entertainment,Beginner,15,CR000009,2025-08-23T09:01:40,0.843,0.176,0.125,0.139,0.763,0.839
CAND000083,How ML Engineers Deploy Models,Learn how ml engineers deploy models in under a minute,"If you're preparing for placements, don't just memorize Cybersecurity answers - understand how it actually works under the hood.",,Person explaining AWS architecture using a whiteboard,English,0.92,,,Spring Boot,Networking,tech_educational,Learning,Intermediate,9,CR000065,2025-05-25T01:51:24,0.519,0.188,0.579,0.457,0.438,0.129
